Real,User,Sys,Algorithm,Iteration
0.52,2.38,0.15,NodeIterator,1
0.22,0.75,0.11,EdgeIterator,1
0.43,2.15,0.11,NodeIterator,2
0.23,0.76,0.11,EdgeIterator,2
0.44,2.27,0.13,NodeIterator,3
0.22,0.72,0.14,EdgeIterator,3
0.49,2.50,0.14,NodeIterator,4
0.21,0.73,0.11,EdgeIterator,4
0.42,2.09,0.13,NodeIterator,5
0.23,0.75,0.12,EdgeIterator,5
0.44,2.49,0.12,NodeIterator,6
0.21,0.72,0.12,EdgeIterator,6
0.46,2.43,0.12,NodeIterator,7
0.22,0.75,0.12,EdgeIterator,7
0.46,2.31,0.13,NodeIterator,8
0.21,0.72,0.13,EdgeIterator,8
0.46,2.36,0.11,NodeIterator,9
0.21,0.72,0.12,EdgeIterator,9
0.43,2.30,0.13,NodeIterator,10
0.21,0.72,0.13,EdgeIterator,10
0.45,2.29,0.13,NodeIterator,11
0.21,0.72,0.14,EdgeIterator,11
0.45,2.28,0.14,NodeIterator,12
0.22,0.73,0.14,EdgeIterator,12
0.42,2.46,0.13,NodeIterator,13
0.22,0.74,0.12,EdgeIterator,13
0.42,2.14,0.12,NodeIterator,14
0.22,0.75,0.12,EdgeIterator,14
0.45,2.46,0.13,NodeIterator,15
0.22,0.72,0.14,EdgeIterator,15
0.44,2.18,0.11,NodeIterator,16
0.21,0.73,0.13,EdgeIterator,16
0.44,2.22,0.13,NodeIterator,17
0.23,0.76,0.12,EdgeIterator,17
0.46,2.27,0.12,NodeIterator,18
0.21,0.75,0.12,EdgeIterator,18
0.43,2.21,0.12,NodeIterator,19
0.22,0.73,0.12,EdgeIterator,19
0.43,2.33,0.12,NodeIterator,20
0.23,0.74,0.14,EdgeIterator,20
0.45,2.42,0.15,NodeIterator,21
0.21,0.70,0.14,EdgeIterator,21
0.47,2.22,0.13,NodeIterator,22
0.21,0.71,0.14,EdgeIterator,22
0.48,2.50,0.13,NodeIterator,23
0.23,0.75,0.13,EdgeIterator,23
0.43,2.18,0.13,NodeIterator,24
0.23,0.72,0.14,EdgeIterator,24
0.44,2.36,0.12,NodeIterator,25
0.21,0.72,0.13,EdgeIterator,25
