Algorithm,Dataset,Iteration,Real,User,Sys
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,1,10.19,24.81,2.58
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,1,9.43,22.10,2.21
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,2,10.00,24.96,2.60
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,2,9.38,22.15,2.24
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,3,10.06,24.59,2.46
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,3,9.34,21.96,2.21
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,4,10.10,25.16,2.48
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,4,9.47,22.45,2.14
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,5,10.22,25.75,2.55
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,5,9.22,22.39,2.17
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,6,10.20,25.34,2.36
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,6,9.33,22.16,2.15
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,7,12.03,31.11,3.02
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,7,10.37,24.50,2.39
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,8,11.39,27.84,2.85
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,8,9.88,23.30,2.28
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,9,10.03,25.08,2.57
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,9,9.42,21.88,2.15
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,10,10.10,24.09,2.67
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,10,9.43,21.97,2.15
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,11,10.62,25.46,2.93
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,11,9.31,22.88,2.13
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,12,10.80,26.49,2.75
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,12,9.35,22.69,2.11
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,13,10.12,25.34,2.72
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,13,9.54,22.87,2.20
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,14,10.39,25.92,2.69
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,14,9.17,22.28,2.18
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,15,10.11,25.19,2.63
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,15,9.54,22.68,2.36
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,16,10.44,26.22,2.59
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,16,9.46,21.91,2.19
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,17,10.11,25.27,2.66
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,17,9.62,22.95,2.31
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,18,10.10,25.53,2.62
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,18,9.49,22.12,2.21
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,19,10.47,25.39,2.60
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,19,9.22,22.31,2.26
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/kron/kron-default.txt,20,10.20,24.71,2.68
