Algorithm,Real,User,Sys
Sync,697.39,693.50,3.87
Sync,711.97,701.19,10.75
Sync,698.41,684.13,14.26
Sync,698.03,683.85,14.16
Sync,701.33,687.14,14.17
Sync,700.16,685.96,14.17
Sync,699.76,685.49,14.25
Sync,695.31,691.51,3.78
Sync,687.96,684.19,3.75
