Algorithm,Real,User,Sys
Sync,695.17,684.01,11.15
Sync,699.94,688.47,11.45
Sync,700.69,689.20,11.47
Sync,703.36,691.78,11.56
Sync,702.92,691.33,11.57
Sync,696.84,685.15,11.67
Sync,697.36,685.73,11.61
Sync,697.82,686.49,11.31
Sync,696.44,684.95,11.47
