Algorithm,Real,User,Sys
Sync,563.28,557.00,6.27
Sync,457.94,454.54,3.39
Sync,458.09,454.66,3.42
Sync,460.82,457.08,3.73
Sync,462.10,454.69,7.40
Sync,463.73,454.38,9.34
Sync,467.17,457.76,9.39
Sync,468.37,458.82,9.54
Sync,466.02,460.83,5.17
