Real,User,Sys,Load,Exec,Vertices,Node
10.74,56.15,1.20,10.600415,0.104185,4400347,0
3.68,14.33,0.89,3.541966,0.115560,4400347,10009
4.48,15.33,0.89,4.440295,0.012424,1,152
3.66,14.13,0.93,3.533321,0.099049,4400347,198715
4.24,15.52,0.89,4.116846,0.098712,4400347,2364701
4.34,16.03,0.90,4.186335,0.122299,4400347,4191829
3.66,14.18,0.85,3.531847,0.101033,4400347,2457030
3.69,14.18,0.95,3.553380,0.105749,4400347,2050404
6.14,19.84,0.88,6.001171,0.109520,4400347,2806161
4.38,15.63,0.96,4.253743,0.098166,4400347,1577990
4.33,15.81,0.99,4.211487,0.095732,4400347,3963199
6.27,20.07,0.88,6.126862,0.109229,4400347,3411171
4.57,16.52,0.83,4.444507,0.098441,4400347,3713194
3.65,14.19,0.82,3.522973,0.099576,4400347,4296099
4.68,16.63,0.83,4.544243,0.110085,4400347,171285
4.29,15.51,0.94,4.169838,0.096675,4400347,710189
3.67,14.15,0.90,3.544593,0.097722,4400347,3305338
4.33,15.62,0.97,4.192908,0.101540,4400347,4784981
4.38,15.88,0.87,4.239910,0.107890,4400347,2411243
3.68,14.21,0.91,3.542096,0.107380,4400347,2698559
5.72,19.03,0.92,5.587193,0.106298,4400347,3097050
4.39,15.91,0.98,4.259018,0.106653,4400347,3010561
3.67,14.08,0.96,3.539576,0.100560,4400347,2075559
