Ordering,Algo,Refs,Misses,Time
default_nz,PR-Async\n,3887768841.0,1597814461.0,10.256279362
default_nz,PR-Async\n,3997128075.0,1638601156.0,10.216422
default_nz,PR-Async\n,3912084146.0,1603818575.0,10.281690112
default_nz,PR-Async\n,3911676056.0,1605470909.0,10.17937759
default_nz,PR-Async\n,3821598418.0,1570759745.0,10.195258208
default_nz,PR-Async\n,3932107501.0,1609836073.0,10.270041109
default_nz,PR-Async\n,3951389549.0,1630451877.0,10.076637116
default_nz,PR-Async\n,3896685684.0,1611256914.0,10.436775822
default_nz,PR-Async\n,3829100823.0,1576723550.0,10.068525737
default_nz,PR-Async\n,3949564668.0,1622983788.0,10.243290539
default_nz,PR-Async\n,3995544450.0,1642715087.0,10.197217741
default_nz,PR-Async\n,3969109248.0,1626378193.0,10.065853195
default_nz,PR-Async\n,3983491471.0,1630483424.0,10.144720834
default_nz,PR-Async\n,3898246495.0,1603899357.0,10.139164369
default_nz,PR-Async\n,3927418692.0,1614955696.0,10.239957649
default_nz,PR-Async\n,3876993069.0,1599070992.0,10.376316666
default_nz,PR-Async\n,3897515435.0,1600462330.0,10.170984309
default_nz,PR-Async\n,3960666355.0,1645308505.0,10.441379266
default_nz,PR-Async\n,4032386474.0,1649320010.0,10.117901887
default_nz,PR-Async\n,3834600659.0,1578918337.0,10.140066918
default_nz,PR-Async\n,3878245531.0,1604543647.0,10.297494933
default_nz,PR-Async\n,3928429196.0,1611370164.0,10.147697906
default_nz,PR-Async\n,3896461062.0,1602715894.0,10.181977603
default_nz,PR-Async\n,4019987198.0,1649196481.0,10.134541572
default_nz,PR-Async\n,3950394009.0,1633652664.0,10.374054617
default_nz,PR-Sync\n,4358898390.0,2025059667.0,10.907473344
default_nz,PR-Sync\n,4411632938.0,2038828023.0,10.776278748
default_nz,PR-Sync\n,4352967560.0,2027280798.0,10.974499969
default_nz,PR-Sync\n,4331417850.0,2011557572.0,11.011178489
default_nz,PR-Sync\n,4370435490.0,2028155907.0,10.868213287
default_nz,PR-Sync\n,4379422949.0,2027161943.0,10.740991166
default_nz,PR-Sync\n,4351375820.0,2019341192.0,10.851988548
default_nz,PR-Sync\n,4398440883.0,2034987306.0,11.019917706
default_nz,PR-Sync\n,4251222510.0,1979007289.0,10.728587814
default_nz,PR-Sync\n,4371943264.0,2025909866.0,10.789097135
default_nz,PR-Sync\n,4354623675.0,2017741414.0,10.819603927
default_nz,PR-Sync\n,4470226103.0,2063242778.0,10.853288023
default_nz,PR-Sync\n,4346184840.0,2013253222.0,10.747169089
