Ordering,Algo,Refs,Misses,Time
default,PR-Async,4142634424.0,1757047434.0,11.324747544
default,PR-Async,4233375758.0,1788716545.0,11.156824503
default,PR-Async,4109757618.0,1741615913.0,11.176247463
default,PR-Async,4175019025.0,1787327589.0,11.663591427
default,PR-Async,4209465484.0,1790694887.0,11.346222722
default,PR-Async,4204666363.0,1762972752.0,11.290742427
default,PR-Async,4166004148.0,1761725570.0,11.202479144
default,PR-Async,4186637396.0,1771135197.0,11.199805589
default,PR-Async,4131759135.0,1749541881.0,11.066756788
default,PR-Async,4250534237.0,1790243014.0,11.141379835
default,PR-Async,4270840893.0,1833072626.0,11.748276639
default,PR-Async,4157676606.0,1795348302.0,11.913571164
default,PR-Async,4175629238.0,1765179287.0,11.066178376
default,PR-Async,4231966819.0,1785621230.0,11.074138769
default,PR-Async,4105289988.0,1737424758.0,11.062388709
default,PR-Async,4205646703.0,1774542031.0,11.169352226
default,PR-Async,4098592048.0,1720631590.0,11.174469074
default,PR-Async,4164709668.0,1760345485.0,11.069180899
default,PR-Async,4134200052.0,1748899375.0,11.068915643
default,PR-Async,4094191720.0,1729725312.0,11.076115559
default,PR-Async,4199019474.0,1769800446.0,11.165721806
default,PR-Async,4173033562.0,1759733509.0,11.07098464
default,PR-Async,4226430621.0,1777992371.0,11.181006862
default,PR-Async,4209518250.0,1774437321.0,11.282158434
default,PR-Async,4184541499.0,1788923139.0,12.85755718
default,PR-Sync,4758888828.0,2318498467.0,12.549172824
default,PR-Sync,4760206480.0,2313691850.0,12.795717168
default,PR-Sync,4738501467.0,2306901327.0,12.795315568
default,PR-Sync,4743964153.0,2314202261.0,12.668022765
default,PR-Sync,4756520366.0,2372129718.0,13.637108984
default,PR-Sync,4752256619.0,2312191536.0,12.573887985
default,PR-Sync,4719263035.0,2314447318.0,13.020313663
default,PR-Sync,4707911011.0,2298984498.0,12.47182606
default,PR-Sync,4706237293.0,2286455431.0,12.513268846
default,PR-Sync,4645868189.0,2272008425.0,12.843870641
default,PR-Sync,4726423430.0,2343072784.0,13.260101199
default,PR-Sync,4718460796.0,2300686271.0,12.566235824
default,PR-Sync,4760797952.0,2305650418.0,12.566129191
default,PR-Sync,4789367058.0,2321141011.0,12.537184732
default,PR-Sync,4719236747.0,2291911195.0,12.579100642
default,PR-Sync,4647605581.0,2275047024.0,12.840498041
default,PR-Sync,4672805731.0,2281034647.0,12.386886464
default,PR-Sync,4627827105.0,2260206046.0,12.444650918
default,PR-Sync,4704459959.0,2290057193.0,12.656146478
default,PR-Sync,4742541988.0,2305287790.0,12.690100793
default,PR-Sync,4741082009.0,2301440806.0,12.654875019
default,PR-Sync,4698110204.0,2292542166.0,12.575575942
default,PR-Sync,4741108447.0,2300472443.0,12.680920249
default,PR-Sync,4669146362.0,2313352335.0,13.246885541
default,PR-Sync,4676661559.0,2279934594.0,12.666152073
degree,PR-Async,4074814671.0,1541241902.0,10.238541382
degree,PR-Async,4040083206.0,1544920677.0,10.436714562
degree,PR-Async,4022938959.0,1534725443.0,10.199229766
degree,PR-Async,3975647608.0,1515027115.0,10.287934209
degree,PR-Async,3990258484.0,1528399163.0,10.477304361
degree,PR-Async,4041128406.0,1528898386.0,10.422986507
degree,PR-Async,3989345599.0,1520886550.0,10.281606364
degree,PR-Async,4050332233.0,1529254195.0,10.336241677
degree,PR-Async,3998924097.0,1521236611.0,10.340969886
degree,PR-Async,4089868773.0,1528704395.0,10.516464451
degree,PR-Async,3997853972.0,1531959918.0,10.253869712
degree,PR-Async,4035669724.0,1522454911.0,10.247569741
degree,PR-Async,4025078287.0,1509038487.0,10.236297877
degree,PR-Async,3968530660.0,1513910710.0,10.252105499
degree,PR-Async,4017371043.0,1530265807.0,10.256452841
degree,PR-Async,4018017424.0,1526579468.0,10.186870613
degree,PR-Async,4069740423.0,1538715410.0,10.225467415
degree,PR-Async,4025136130.0,1538960760.0,10.394561343
degree,PR-Async,4012830147.0,1529575213.0,10.355085016
degree,PR-Async,4054279956.0,1542017994.0,10.253491081
degree,PR-Async,4012660418.0,1525128066.0,10.276077548
degree,PR-Async,4079619428.0,1549999016.0,10.249797227
degree,PR-Async,4014943035.0,1535291058.0,10.162940227
degree,PR-Async,4027471655.0,1535548556.0,10.271455391
degree,PR-Async,3936099746.0,1503712712.0,10.377853617
degree,PR-Sync,4466598527.0,2017782759.0,11.424284728
degree,PR-Sync,4485711513.0,2032551550.0,11.211187237
degree,PR-Sync,4398256468.0,1998174945.0,11.260696921
degree,PR-Sync,4491543058.0,2026537389.0,11.49950437
degree,PR-Sync,4445790973.0,2008874613.0,11.176818588
degree,PR-Sync,4457010596.0,2016511092.0,11.422967987
degree,PR-Sync,4442263089.0,2010026025.0,11.21579463
degree,PR-Sync,4414214901.0,2000097801.0,11.357381302
degree,PR-Sync,4438916602.0,2012697974.0,11.413946869
degree,PR-Sync,4452872129.0,2021397981.0,11.377837634
degree,PR-Sync,4467493884.0,2017098003.0,11.309187022
degree,PR-Sync,4456179320.0,2017626165.0,11.260079339
degree,PR-Sync,4457511981.0,2013833204.0,11.346235149
degree,PR-Sync,4464323239.0,2017468228.0,11.201354092
degree,PR-Sync,4495342779.0,2027379744.0,11.203236233
degree,PR-Sync,4450424961.0,2013181934.0,11.371631755
degree,PR-Sync,4513447845.0,2033552717.0,11.29150564
degree,PR-Sync,4490530736.0,2022532156.0,11.260087326
degree,PR-Sync,4446571155.0,2020458311.0,11.390884243
degree,PR-Sync,4472301783.0,2020400349.0,11.376942084
degree,PR-Sync,4499022540.0,2038171159.0,11.466125353
degree,PR-Sync,4443806246.0,2010527683.0,11.252392036
degree,PR-Sync,4470955806.0,2020060320.0,11.27909561
degree,PR-Sync,4456046752.0,2013910524.0,11.283679698
degree,PR-Sync,4391920299.0,1992148622.0,11.484863391
revdegree,PR-Async,4020448879.0,1579169752.0,10.747174081
revdegree,PR-Async,3994469795.0,1563742764.0,10.700296675
revdegree,PR-Async,3973778762.0,1559863717.0,10.715059521
revdegree,PR-Async,4013017217.0,1575556458.0,10.674931872
revdegree,PR-Async,4015101425.0,1574761470.0,10.553114344
revdegree,PR-Async,4014966169.0,1603792770.0,10.767203779
revdegree,PR-Async,3993446004.0,1605182135.0,11.262177899
revdegree,PR-Async,3971056975.0,1556420450.0,10.686755098
revdegree,PR-Async,3966244518.0,1554988896.0,10.928916578
revdegree,PR-Async,4047315668.0,1579076582.0,10.575746469
revdegree,PR-Async,4022394050.0,1575451002.0,10.643491502
revdegree,PR-Async,4051209565.0,1598263600.0,10.618910571
revdegree,PR-Async,4068737730.0,1589203424.0,10.638877403
revdegree,PR-Async,4007919082.0,1573693811.0,10.589702977
revdegree,PR-Async,3951488275.0,1551524537.0,10.544301311
revdegree,PR-Async,3924966998.0,1546065803.0,10.691107406
revdegree,PR-Async,3948934048.0,1568813283.0,10.636950489
revdegree,PR-Async,3951823891.0,1550498411.0,10.433065209
revdegree,PR-Async,4027032538.0,1581929220.0,10.611339316
revdegree,PR-Async,3919260105.0,1545800423.0,10.328596341
revdegree,PR-Async,4045850245.0,1583038789.0,10.735280199
revdegree,PR-Async,4008164470.0,1572615718.0,10.82705786
revdegree,PR-Async,4023381403.0,1575512939.0,10.612813766
revdegree,PR-Async,3985912740.0,1564763420.0,10.615121431
revdegree,PR-Async,3955042267.0,1549343297.0,10.735164907
revdegree,PR-Sync,4463923857.0,2047441327.0,11.461203224
revdegree,PR-Sync,4405066838.0,2026085694.0,11.472238231
revdegree,PR-Sync,4396199757.0,2024815678.0,11.340474542
revdegree,PR-Sync,4449262258.0,2032794585.0,11.699312944
