Ordering,Algo,Refs,Misses,Time
default,Sync,120067205675.0,56725323315.0,283.204125398
default,Sync,119539593340.0,56489896831.0,179.16720926
default,Sync,130594919600.0,57735870910.0,188.090307243
default,Sync,131890844846.0,58074941257.0,191.213329721
default,Sync,119369915264.0,56473885704.0,179.935222155
default,Sync,119743988272.0,56490321217.0,179.129263599
default,Sync,119495465071.0,56439042314.0,178.629165249
default,Sync,132449727080.0,58132635709.0,191.322971715
default,Sync,130394505243.0,57941292103.0,189.764287648
default,Sync,119469209803.0,56448261475.0,181.00649308
default,Sync,119535926665.0,56502072218.0,179.719180557
default,Sync,119674323478.0,56451044550.0,179.304821646
default,Sync,119574121138.0,56524112663.0,179.853883775
default,Sync,119657099914.0,56465200539.0,179.223620628
default,Sync,119892119604.0,56463028811.0,179.231665929
default,Sync,119448228340.0,56475251415.0,178.857836735
default,Sync,119872391704.0,56500098161.0,179.962981266
default,Sync,128289056502.0,57714195110.0,188.08659546
default,Sync,130440514045.0,57968609701.0,189.923996515
default,Sync,119456529931.0,56441946588.0,178.925026571
default,Sync,119232416443.0,56512415312.0,179.51800994
default,Sync,119557122292.0,56562441545.0,179.47085766
default,Sync,129132754602.0,57703240108.0,187.314655735
default,Sync,119910554968.0,56530233607.0,179.52549548
default,Sync,130691374477.0,57901091240.0,189.67564964
degree,Sync,94685400835.0,41164360898.0,206.741202548
degree,Sync,94487279813.0,41112992403.0,150.948737227
degree,Sync,94044226088.0,41015021063.0,150.885511986
degree,Sync,106745446925.0,41821305178.0,163.916077741
degree,Sync,94501605459.0,41030005654.0,150.797137241
degree,Sync,108479892543.0,41817529357.0,164.341726174
degree,Sync,104228430268.0,41779324106.0,162.241953969
degree,Sync,94673599975.0,40948636068.0,150.261134372
degree,Sync,109703682045.0,41850895823.0,164.29891408
degree,Sync,106353582297.0,41707624608.0,161.177604463
degree,Sync,93932065932.0,41144703034.0,151.172412469
degree,Sync,104366131253.0,41711958138.0,161.269215549
degree,Sync,106715214540.0,41758608285.0,161.515265709
degree,Sync,108195548689.0,41800682978.0,165.149270068
degree,Sync,107029275029.0,41838360529.0,161.645277137
degree,Sync,93990588875.0,40964007221.0,150.130029654
degree,Sync,94101353977.0,41030453061.0,150.648536262
degree,Sync,107021026442.0,41926568395.0,163.322608913
degree,Sync,94322100007.0,40998530919.0,149.954294029
degree,Sync,107924548612.0,41860177185.0,164.431576342
degree,Sync,107962889575.0,41916188188.0,165.662842016
degree,Sync,108304328301.0,41963980872.0,165.601358868
degree,Sync,104484977845.0,41770851849.0,160.682385392
degree,Sync,104276495972.0,41769157607.0,160.432872389
degree,Sync,94634259208.0,41042959039.0,150.043171609
revdegree,Sync,124694177790.0,42738712226.0,242.747501243
revdegree,Sync,125808634828.0,42538729676.0,183.546078935
revdegree,Sync,122508826967.0,41908491251.0,177.859467615
revdegree,Sync,123805732923.0,42194777825.0,180.75290263
revdegree,Sync,125030693791.0,42189219932.0,181.539707952
revdegree,Sync,103069389096.0,41823627353.0,162.130682477
revdegree,Sync,127365598689.0,42798979806.0,188.199733303
revdegree,Sync,120852393296.0,42325001808.0,182.013620841
revdegree,Sync,125741366308.0,42503378287.0,182.386547478
revdegree,Sync,122265586780.0,42020601585.0,176.856997745
revdegree,Sync,124822696561.0,42375631908.0,183.08357585
revdegree,Sync,102764913431.0,41720776107.0,160.323227976
revdegree,Sync,103786704150.0,41792782589.0,162.737812281
revdegree,Sync,104324002544.0,41860569711.0,163.017794144
revdegree,Sync,125117099430.0,42364080624.0,181.451443606
revdegree,Sync,102515260604.0,41707440434.0,159.681578233
revdegree,Sync,103934895510.0,41835535037.0,161.712790815
revdegree,Sync,126312313367.0,42310993007.0,182.169361831
revdegree,Sync,125714323728.0,42429029081.0,183.068702472
revdegree,Sync,104143519454.0,41758738628.0,162.042429747
revdegree,Sync,103594623744.0,41816764550.0,161.345315348
revdegree,Sync,103721750652.0,41906490847.0,161.465799275
revdegree,Sync,102984834406.0,41661389444.0,159.737419062
revdegree,Sync,126300993518.0,42354984680.0,184.717642878
revdegree,Sync,103511869433.0,41729066862.0,161.534080458
