Real,User,Sys,Algorithm,Iteration
289.15,1825.20,26.61,Sync,1
196.34,1216.04,20.45,Sync,2
194.96,1212.21,20.64,Sync,3
197.42,1217.99,20.37,Sync,4
191.63,1217.98,21.47,Sync,5
206.25,1259.66,21.37,Sync,6
183.41,1178.92,21.27,Sync,7
187.58,1200.59,20.62,Sync,8
179.42,1166.15,20.85,Sync,9
189.22,1206.28,19.85,Sync,10
179.61,1167.37,20.94,Sync,11
190.31,1208.58,20.27,Sync,12
193.25,1219.89,20.21,Sync,13
179.89,1169.61,20.77,Sync,14
181.09,1170.50,20.98,Sync,15
179.69,1166.94,21.38,Sync,16
189.69,1209.00,19.65,Sync,17
188.12,1206.41,20.47,Sync,18
179.62,1167.21,20.64,Sync,19
179.16,1167.12,20.41,Sync,20
179.65,1169.84,20.43,Sync,21
180.58,1170.69,20.38,Sync,22
190.79,1211.09,19.98,Sync,23
188.72,1206.82,19.96,Sync,24
188.85,1207.36,20.73,Sync,25
