Ordering,Algo,Refs,Misses,Time
default,Connected,194013003076.0,99139056248.0,244.060258858
default,Connected,194152516018.0,99267429793.0,245.09719101
default,Connected,193944842634.0,99188340510.0,244.594150319
default,Connected,194059688599.0,99141092853.0,244.73168166
default,Connected,194110490903.0,99371132876.0,247.080697977
default,Connected,208990628681.0,100249755895.0,271.542086304
default,Connected,207727394412.0,100215427652.0,263.977701546
default,Connected,207520032399.0,100253093367.0,264.037461838
default,Connected,206906409514.0,100210821266.0,264.552246662
default,Connected,208450079333.0,100392007470.0,270.435345637
default,Connected,193759404911.0,99209694025.0,244.431256931
default,Connected,204152610844.0,100057279560.0,260.647159021
default,Connected,206523619433.0,99989593973.0,258.902321385
default,Connected,208005419910.0,100197974092.0,270.38305199
default,Connected,194034137145.0,99158281179.0,243.807363275
default,Connected,209999604932.0,100219812344.0,270.276209279
default,Connected,209099405596.0,100295508627.0,267.319576853
default,Connected,193864823009.0,99228432456.0,245.124481597
default,Connected,194379497440.0,99143866632.0,244.507662225
default,Connected,194178510246.0,99256810616.0,244.825512622
default,Connected,206131642102.0,99979903226.0,262.201310145
default,Connected,208637748133.0,100159151898.0,266.14253137
default,Connected,193879432023.0,99204301915.0,244.373076771
default,Connected,194104426709.0,99161464883.0,244.542297742
default,Connected,208819495896.0,100192982906.0,266.516038067
degree,Connected,189259765175.0,72085849376.0,204.24721768
degree,Connected,201814349696.0,72527494769.0,223.644381737
degree,Connected,202994217991.0,72671802550.0,222.367068112
degree,Connected,189271070088.0,72051755415.0,204.341501786
degree,Connected,202185828189.0,72619570817.0,223.73498029
degree,Connected,189983919841.0,72206197072.0,205.556305673
degree,Connected,203716847412.0,72813710005.0,227.658594659
degree,Connected,189917935584.0,72151898905.0,206.243704962
degree,Connected,190194353293.0,72249734467.0,205.177222537
degree,Connected,190391073928.0,72109780788.0,205.172893178
degree,Connected,189826485631.0,72094775160.0,204.89674374
degree,Connected,203746622549.0,72896709146.0,229.13849642
degree,Connected,189227917453.0,72142306618.0,204.086031811
degree,Connected,204130457815.0,72884889209.0,228.571153385
degree,Connected,189373453918.0,72156775917.0,204.329604377
degree,Connected,207728614844.0,72840129146.0,230.138435275
degree,Connected,190301374363.0,72153812997.0,205.71802207
degree,Connected,203243908025.0,72594021320.0,223.185970227
degree,Connected,189170289023.0,72182388204.0,204.452713175
degree,Connected,190021356716.0,72191592622.0,205.839761538
degree,Connected,189104019334.0,72218527201.0,203.975038549
degree,Connected,190517023556.0,72312165172.0,205.869461716
degree,Connected,204858691686.0,72640144342.0,230.007419116
degree,Connected,190368473725.0,72307603712.0,206.369176282
degree,Connected,203578170895.0,72702623908.0,226.26812847
revdegree,Connected,172770309225.0,62633044493.0,203.689629911
revdegree,Connected,171852821935.0,62608521270.0,205.035465737
revdegree,Connected,205206901491.0,63198288357.0,257.15135417
revdegree,Connected,171458797994.0,62782758363.0,201.478847707
revdegree,Connected,201227495924.0,63086703480.0,246.212038912
revdegree,Connected,198664400085.0,63099932343.0,251.477299852
revdegree,Connected,172471938383.0,62698248097.0,205.525769298
revdegree,Connected,171750628600.0,62698948792.0,204.447320388
revdegree,Connected,170564568375.0,62637272598.0,202.086801662
revdegree,Connected,171642266968.0,62593200237.0,199.765649796
revdegree,Connected,172004593575.0,62645327678.0,204.026785656
revdegree,Connected,172653825725.0,62656985827.0,207.01910235
revdegree,Connected,201520685115.0,63143950762.0,250.211882787
revdegree,Connected,199244708058.0,62854043768.0,239.566954875
revdegree,Connected,199332984005.0,62907764240.0,239.001881136
revdegree,Connected,172163800723.0,62767528138.0,201.227111914
revdegree,Connected,170545046227.0,62710053125.0,199.723887105
revdegree,Connected,174063511422.0,62785810276.0,209.17753968
revdegree,Connected,172984741016.0,62965447412.0,209.796211402
revdegree,Connected,203006258611.0,63126817150.0,248.708128811
revdegree,Connected,173087686416.0,62632192472.0,207.209636479
revdegree,Connected,172308365446.0,62635206757.0,206.338268991
revdegree,Connected,201595684320.0,63088521405.0,246.391900376
revdegree,Connected,201593821059.0,63109758662.0,241.144725129
revdegree,Connected,200303022372.0,63094943559.0,249.556073977
