Real,User,Sys,Algorithm,Iteration
0.74,0.15,0.14,Sync,1
0.33,0.20,0.12,Async,1
0.40,0.23,0.16,EdgeAsync,1
0.33,0.23,0.10,EtiledAsync,1
0.71,0.58,0.13,BlkdAsync,1
0.26,0.12,0.14,LabelProc,1
0.35,0.22,0.12,Serial,1
0.23,0.10,0.12,Sync,2
0.33,0.18,0.14,Async,2
0.42,0.28,0.14,EdgeAsync,2
0.32,0.15,0.16,EtiledAsync,2
0.72,0.60,0.12,BlkdAsync,2
0.27,0.14,0.12,LabelProc,2
0.34,0.23,0.11,Serial,2
0.23,0.10,0.12,Sync,3
0.33,0.21,0.12,Async,3
0.42,0.27,0.14,EdgeAsync,3
0.32,0.19,0.13,EtiledAsync,3
0.74,0.61,0.12,BlkdAsync,3
0.27,0.16,0.10,LabelProc,3
0.35,0.21,0.14,Serial,3
0.23,0.09,0.13,Sync,4
0.34,0.23,0.11,Async,4
0.41,0.28,0.12,EdgeAsync,4
0.33,0.23,0.10,EtiledAsync,4
0.73,0.57,0.15,BlkdAsync,4
0.27,0.12,0.14,LabelProc,4
0.33,0.22,0.11,Serial,4
0.22,0.09,0.13,Sync,5
0.34,0.21,0.13,Async,5
0.41,0.27,0.14,EdgeAsync,5
0.32,0.20,0.11,EtiledAsync,5
0.71,0.58,0.12,BlkdAsync,5
0.28,0.16,0.12,LabelProc,5
0.34,0.22,0.12,Serial,5
0.23,0.10,0.13,Sync,6
0.32,0.20,0.12,Async,6
0.41,0.27,0.13,EdgeAsync,6
0.32,0.20,0.12,EtiledAsync,6
0.73,0.62,0.11,BlkdAsync,6
0.27,0.15,0.11,LabelProc,6
0.35,0.22,0.12,Serial,6
0.23,0.10,0.13,Sync,7
0.34,0.21,0.13,Async,7
0.41,0.27,0.14,EdgeAsync,7
0.32,0.20,0.12,EtiledAsync,7
0.73,0.60,0.12,BlkdAsync,7
0.27,0.13,0.13,LabelProc,7
0.34,0.21,0.12,Serial,7
0.22,0.10,0.12,Sync,8
0.34,0.20,0.13,Async,8
0.40,0.26,0.13,EdgeAsync,8
0.34,0.21,0.12,EtiledAsync,8
0.73,0.62,0.11,BlkdAsync,8
0.27,0.16,0.11,LabelProc,8
0.34,0.23,0.10,Serial,8
0.23,0.09,0.14,Sync,9
0.35,0.22,0.12,Async,9
0.42,0.26,0.15,EdgeAsync,9
0.32,0.19,0.12,EtiledAsync,9
0.72,0.61,0.11,BlkdAsync,9
0.27,0.14,0.12,LabelProc,9
0.35,0.23,0.12,Serial,9
0.24,0.12,0.12,Sync,10
0.33,0.20,0.13,Async,10
0.42,0.27,0.15,EdgeAsync,10
0.34,0.22,0.11,EtiledAsync,10
0.74,0.61,0.13,BlkdAsync,10
0.27,0.14,0.12,LabelProc,10
0.35,0.24,0.11,Serial,10
0.23,0.10,0.13,Sync,11
0.34,0.19,0.14,Async,11
0.41,0.27,0.14,EdgeAsync,11
0.33,0.19,0.13,EtiledAsync,11
0.73,0.60,0.13,BlkdAsync,11
0.27,0.17,0.10,LabelProc,11
0.35,0.22,0.12,Serial,11
0.22,0.10,0.11,Sync,12
0.33,0.21,0.12,Async,12
0.41,0.27,0.13,EdgeAsync,12
0.33,0.21,0.11,EtiledAsync,12
0.73,0.61,0.12,BlkdAsync,12
0.27,0.15,0.12,LabelProc,12
0.35,0.22,0.12,Serial,12
0.23,0.12,0.11,Sync,13
0.33,0.21,0.11,Async,13
0.42,0.26,0.15,EdgeAsync,13
0.32,0.17,0.14,EtiledAsync,13
0.71,0.59,0.12,BlkdAsync,13
0.27,0.13,0.13,LabelProc,13
0.34,0.22,0.12,Serial,13
0.23,0.09,0.14,Sync,14
0.34,0.20,0.14,Async,14
0.40,0.24,0.16,EdgeAsync,14
0.32,0.19,0.13,EtiledAsync,14
0.76,0.64,0.11,BlkdAsync,14
0.26,0.13,0.13,LabelProc,14
0.34,0.20,0.13,Serial,14
0.23,0.11,0.12,Sync,15
0.33,0.21,0.12,Async,15
0.42,0.29,0.12,EdgeAsync,15
0.33,0.21,0.12,EtiledAsync,15
0.73,0.61,0.11,BlkdAsync,15
0.28,0.14,0.13,LabelProc,15
0.34,0.22,0.12,Serial,15
0.22,0.10,0.12,Sync,16
0.35,0.22,0.12,Async,16
0.41,0.26,0.14,EdgeAsync,16
0.33,0.19,0.14,EtiledAsync,16
0.71,0.59,0.11,BlkdAsync,16
0.26,0.13,0.13,LabelProc,16
0.35,0.22,0.12,Serial,16
0.23,0.09,0.13,Sync,17
0.34,0.22,0.12,Async,17
0.42,0.27,0.15,EdgeAsync,17
0.32,0.19,0.13,EtiledAsync,17
0.71,0.60,0.11,BlkdAsync,17
0.26,0.14,0.11,LabelProc,17
0.33,0.20,0.13,Serial,17
0.23,0.13,0.09,Sync,18
0.33,0.20,0.12,Async,18
0.40,0.27,0.12,EdgeAsync,18
0.32,0.22,0.10,EtiledAsync,18
0.72,0.60,0.12,BlkdAsync,18
0.27,0.15,0.11,LabelProc,18
0.34,0.20,0.13,Serial,18
0.22,0.10,0.11,Sync,19
0.33,0.21,0.12,Async,19
0.41,0.28,0.12,EdgeAsync,19
0.32,0.21,0.10,EtiledAsync,19
0.71,0.57,0.13,BlkdAsync,19
0.26,0.13,0.13,LabelProc,19
0.35,0.22,0.12,Serial,19
0.23,0.09,0.13,Sync,20
0.33,0.19,0.14,Async,20
0.42,0.28,0.13,EdgeAsync,20
0.34,0.23,0.11,EtiledAsync,20
0.71,0.58,0.12,BlkdAsync,20
0.27,0.12,0.14,LabelProc,20
0.34,0.22,0.12,Serial,20
0.23,0.10,0.13,Sync,21
0.33,0.23,0.10,Async,21
0.41,0.25,0.16,EdgeAsync,21
0.33,0.20,0.13,EtiledAsync,21
0.73,0.61,0.12,BlkdAsync,21
0.28,0.16,0.12,LabelProc,21
0.35,0.23,0.12,Serial,21
0.23,0.11,0.11,Sync,22
0.35,0.21,0.13,Async,22
0.40,0.26,0.13,EdgeAsync,22
0.32,0.21,0.11,EtiledAsync,22
0.71,0.59,0.12,BlkdAsync,22
0.28,0.17,0.10,LabelProc,22
0.34,0.21,0.12,Serial,22
0.23,0.07,0.15,Sync,23
