Real,User,Sys,Algorithm,Iteration
35.57,302.51,2.42,NodeIterator,1
5.93,64.52,0.80,EdgeIterator,1
32.99,304.15,2.12,NodeIterator,2
5.96,65.28,0.57,EdgeIterator,2
32.84,331.82,2.48,NodeIterator,3
5.79,63.90,0.48,EdgeIterator,3
35.15,305.68,2.88,NodeIterator,4
5.97,64.70,0.95,EdgeIterator,4
34.90,342.64,2.27,NodeIterator,5
5.92,64.78,0.70,EdgeIterator,5
33.28,310.58,2.51,NodeIterator,6
5.90,64.89,0.56,EdgeIterator,6
32.49,305.87,1.70,NodeIterator,7
5.99,65.59,0.62,EdgeIterator,7
33.97,297.04,2.41,NodeIterator,8
5.68,62.48,0.54,EdgeIterator,8
34.90,305.39,2.60,NodeIterator,9
5.82,64.08,0.63,EdgeIterator,9
35.28,314.75,3.69,NodeIterator,10
5.83,63.80,0.49,EdgeIterator,10
35.85,303.96,2.02,NodeIterator,11
5.79,63.72,0.52,EdgeIterator,11
34.83,316.12,2.09,NodeIterator,12
5.85,64.27,0.65,EdgeIterator,12
33.74,306.85,1.90,NodeIterator,13
5.84,64.02,0.41,EdgeIterator,13
34.73,335.32,1.99,NodeIterator,14
5.76,62.84,0.93,EdgeIterator,14
35.07,309.12,3.15,NodeIterator,15
5.82,64.09,0.48,EdgeIterator,15
34.49,333.72,2.02,NodeIterator,16
5.87,64.25,0.41,EdgeIterator,16
34.07,304.65,1.90,NodeIterator,17
5.86,63.57,1.21,EdgeIterator,17
34.36,309.00,1.89,NodeIterator,18
5.85,64.28,0.57,EdgeIterator,18
33.14,315.04,2.13,NodeIterator,19
7.19,78.33,0.70,EdgeIterator,19
35.33,344.99,2.28,NodeIterator,20
5.58,61.38,0.51,EdgeIterator,20
34.04,337.32,2.22,NodeIterator,21
5.88,64.93,0.39,EdgeIterator,21
34.31,299.34,1.69,NodeIterator,22
6.52,70.99,1.08,EdgeIterator,22
33.24,326.43,2.98,NodeIterator,23
5.84,64.12,0.55,EdgeIterator,23
33.05,309.16,1.97,NodeIterator,24
5.96,65.26,0.66,EdgeIterator,24
34.57,333.00,2.12,NodeIterator,25
5.84,63.96,0.46,EdgeIterator,25
