Real,User,Sys,Algorithm,Iteration
2.21,1.60,0.16,Pull-Topo,1
1.47,1.31,0.14,Pull-Residual,1
3.37,3.19,0.15,Push-Async,1
5.45,5.32,0.11,Push-Sync,1
1.72,1.58,0.12,Pull-Topo,2
1.46,1.30,0.14,Pull-Residual,2
3.43,3.27,0.14,Push-Async,2
5.45,5.30,0.12,Push-Sync,2
1.66,1.49,0.14,Pull-Topo,3
1.45,1.30,0.12,Pull-Residual,3
3.39,3.26,0.11,Push-Async,3
5.50,5.37,0.12,Push-Sync,3
1.73,1.58,0.13,Pull-Topo,4
1.46,1.31,0.13,Pull-Residual,4
3.40,3.25,0.13,Push-Async,4
5.46,5.30,0.14,Push-Sync,4
1.66,1.50,0.13,Pull-Topo,5
1.46,1.31,0.13,Pull-Residual,5
3.41,3.27,0.12,Push-Async,5
5.43,5.26,0.14,Push-Sync,5
1.73,1.58,0.13,Pull-Topo,6
1.48,1.33,0.13,Pull-Residual,6
3.40,3.26,0.12,Push-Async,6
5.39,5.25,0.12,Push-Sync,6
1.68,1.50,0.15,Pull-Topo,7
1.44,1.30,0.12,Pull-Residual,7
3.34,3.20,0.12,Push-Async,7
5.40,5.27,0.11,Push-Sync,7
1.66,1.51,0.13,Pull-Topo,8
1.49,1.33,0.13,Pull-Residual,8
3.53,3.37,0.14,Push-Async,8
5.39,5.20,0.16,Push-Sync,8
1.66,1.51,0.13,Pull-Topo,9
1.48,1.32,0.13,Pull-Residual,9
3.37,3.21,0.14,Push-Async,9
5.41,5.23,0.15,Push-Sync,9
1.69,1.54,0.13,Pull-Topo,10
1.46,1.30,0.14,Pull-Residual,10
3.35,3.20,0.13,Push-Async,10
5.40,5.26,0.12,Push-Sync,10
1.67,1.52,0.13,Pull-Topo,11
1.45,1.30,0.12,Pull-Residual,11
3.34,3.18,0.14,Push-Async,11
5.43,5.30,0.11,Push-Sync,11
1.75,1.58,0.14,Pull-Topo,12
1.46,1.31,0.12,Pull-Residual,12
3.36,3.21,0.12,Push-Async,12
5.54,5.38,0.14,Push-Sync,12
1.70,1.54,0.14,Pull-Topo,13
1.49,1.32,0.14,Pull-Residual,13
3.39,3.23,0.13,Push-Async,13
5.40,5.25,0.13,Push-Sync,13
1.69,1.54,0.13,Pull-Topo,14
1.46,1.30,0.14,Pull-Residual,14
3.35,3.19,0.13,Push-Async,14
5.38,5.25,0.11,Push-Sync,14
1.72,1.56,0.14,Pull-Topo,15
1.47,1.32,0.13,Pull-Residual,15
3.38,3.25,0.11,Push-Async,15
5.56,5.41,0.13,Push-Sync,15
1.69,1.55,0.12,Pull-Topo,16
1.49,1.34,0.13,Pull-Residual,16
3.42,3.28,0.12,Push-Async,16
5.37,5.21,0.14,Push-Sync,16
1.69,1.52,0.14,Pull-Topo,17
1.50,1.33,0.14,Pull-Residual,17
3.40,3.26,0.12,Push-Async,17
5.41,5.29,0.10,Push-Sync,17
1.66,1.52,0.12,Pull-Topo,18
1.46,1.30,0.14,Pull-Residual,18
3.40,3.24,0.14,Push-Async,18
5.64,5.49,0.13,Push-Sync,18
1.70,1.56,0.12,Pull-Topo,19
1.46,1.30,0.14,Pull-Residual,19
3.34,3.20,0.12,Push-Async,19
5.41,5.26,0.13,Push-Sync,19
1.66,1.49,0.14,Pull-Topo,20
1.50,1.35,0.13,Pull-Residual,20
3.39,3.24,0.12,Push-Async,20
5.40,5.25,0.12,Push-Sync,20
1.67,1.53,0.12,Pull-Topo,21
1.46,1.32,0.12,Pull-Residual,21
3.33,3.20,0.11,Push-Async,21
5.40,5.24,0.14,Push-Sync,21
1.69,1.55,0.12,Pull-Topo,22
1.48,1.34,0.12,Pull-Residual,22
3.37,3.24,0.11,Push-Async,22
5.38,5.24,0.12,Push-Sync,22
1.71,1.55,0.14,Pull-Topo,23
1.47,1.32,0.12,Pull-Residual,23
3.37,3.22,0.13,Push-Async,23
5.50,5.33,0.14,Push-Sync,23
1.65,1.51,0.12,Pull-Topo,24
1.46,1.31,0.13,Pull-Residual,24
3.34,3.19,0.13,Push-Async,24
5.44,5.30,0.12,Push-Sync,24
1.66,1.51,0.13,Pull-Topo,25
1.46,1.29,0.15,Pull-Residual,25
3.46,3.29,0.15,Push-Async,25
5.40,5.23,0.14,Push-Sync,25
