Real,User,Sys,Algorithm,Iteration
0.93,3.84,0.13,NodeIterator,1
0.41,1.26,0.14,EdgeIterator,1
0.69,3.42,0.16,NodeIterator,2
0.42,1.33,0.16,EdgeIterator,2
0.67,2.73,0.15,NodeIterator,3
0.36,1.06,0.16,EdgeIterator,3
0.57,2.90,0.13,NodeIterator,4
0.34,1.03,0.14,EdgeIterator,4
0.60,2.94,0.14,NodeIterator,5
0.35,1.08,0.14,EdgeIterator,5
0.59,2.88,0.12,NodeIterator,6
0.33,1.21,0.16,EdgeIterator,6
0.59,3.06,0.14,NodeIterator,7
0.35,1.16,0.14,EdgeIterator,7
0.55,2.89,0.13,NodeIterator,8
0.34,1.09,0.12,EdgeIterator,8
0.80,3.77,0.11,NodeIterator,9
0.37,1.12,0.16,EdgeIterator,9
0.77,3.49,0.16,NodeIterator,10
0.36,1.11,0.17,EdgeIterator,10
0.66,2.86,0.15,NodeIterator,11
0.35,1.17,0.12,EdgeIterator,11
0.71,3.29,0.15,NodeIterator,12
0.33,1.04,0.17,EdgeIterator,12
0.59,2.69,0.15,NodeIterator,13
0.33,1.05,0.14,EdgeIterator,13
0.57,2.82,0.15,NodeIterator,14
0.31,1.03,0.14,EdgeIterator,14
0.56,2.84,0.15,NodeIterator,15
0.30,0.99,0.15,EdgeIterator,15
0.67,3.33,0.14,NodeIterator,16
0.29,1.14,0.12,EdgeIterator,16
0.54,2.73,0.15,NodeIterator,17
0.32,1.26,0.15,EdgeIterator,17
0.55,2.61,0.15,NodeIterator,18
0.31,1.19,0.12,EdgeIterator,18
0.57,2.61,0.13,NodeIterator,19
0.30,1.06,0.17,EdgeIterator,19
0.55,3.02,0.13,NodeIterator,20
0.29,1.11,0.15,EdgeIterator,20
0.58,2.95,0.14,NodeIterator,21
0.29,1.03,0.12,EdgeIterator,21
0.55,2.65,0.13,NodeIterator,22
0.28,0.93,0.17,EdgeIterator,22
0.55,2.94,0.14,NodeIterator,23
0.28,0.98,0.16,EdgeIterator,23
0.55,2.63,0.12,NodeIterator,24
0.31,1.12,0.15,EdgeIterator,24
0.56,2.91,0.12,NodeIterator,25
0.29,1.01,0.13,EdgeIterator,25
