Real,User,Sys,Algorithm
0.58,0.33,0.22,Sync
1.13,0.92,0.21,Async
1.37,1.09,0.25,EdgeAsync
1.14,0.91,0.20,EtiledAsync
3.92,3.74,0.18,BlkdAsync
1.04,0.83,0.20,LabelProc
1.46,1.24,0.21,Serial
