Real,User,Sys,Algorithm
0.59,0.38,0.21,Sync
1.09,0.90,0.18,Async
1.31,1.04,0.26,EdgeAsync
1.14,0.93,0.18,EtiledAsync
4.75,4.53,0.21,BlkdAsync
1.05,0.83,0.20,LabelProc
1.44,1.23,0.22,Serial
