Real,User,Sys,Algorithm,Vertex_ID,Unvisited
1.35,1.08,0.24,SyncTile,2411243,447224
1.34,1.01,0.31,Sync2p,2411243,447224
1.31,1.05,0.23,Sync2pTile,2411243,447224
1.46,1.21,0.23,AsyncTile,2698559,447224
1.40,1.13,0.25,Async,2698559,447224
1.38,1.16,0.20,Sync,2698559,447224
1.37,1.06,0.28,SyncTile,2698559,447224
1.30,1.04,0.24,Sync2p,2698559,447224
1.29,0.99,0.28,Sync2pTile,2698559,447224
1.46,1.20,0.24,AsyncTile,3097050,447224
1.41,1.15,0.24,Async,3097050,447224
1.40,1.13,0.25,Sync,3097050,447224
1.39,1.09,0.27,SyncTile,3097050,447224
1.31,1.00,0.28,Sync2p,3097050,447224
1.31,1.05,0.24,Sync2pTile,3097050,447224
1.47,1.19,0.25,AsyncTile,3010561,447224
1.40,1.17,0.22,Async,3010561,447224
1.40,1.14,0.23,Sync,3010561,447224
1.34,1.07,0.24,SyncTile,3010561,447224
1.29,1.01,0.26,Sync2p,3010561,447224
1.32,1.04,0.26,Sync2pTile,3010561,447224
1.48,1.19,0.27,AsyncTile,2075559,447224
1.47,1.16,0.29,Async,2075559,447224
1.41,1.19,0.20,Sync,2075559,447224
1.35,1.06,0.27,SyncTile,2075559,447224
1.31,1.07,0.22,Sync2p,2075559,447224
1.33,1.08,0.23,Sync2pTile,2075559,447224
