Real,User,Sys,Algorithm,Iteration
20.84,19.16,0.36,Pull-Topo,1
14.69,14.50,0.17,Pull-Residual,1
16.21,16.02,0.17,Push-Async,1
27.76,27.55,0.18,Push-Sync,1
19.99,19.82,0.16,Pull-Topo,2
14.14,13.91,0.20,Pull-Residual,2
16.15,15.95,0.18,Push-Async,2
29.16,28.99,0.14,Push-Sync,2
19.44,19.24,0.18,Pull-Topo,3
15.23,15.05,0.16,Pull-Residual,3
16.21,16.05,0.14,Push-Async,3
27.69,27.46,0.21,Push-Sync,3
19.38,19.20,0.16,Pull-Topo,4
14.71,14.52,0.17,Pull-Residual,4
16.24,16.06,0.16,Push-Async,4
27.66,27.47,0.17,Push-Sync,4
20.03,19.85,0.15,Pull-Topo,5
14.76,14.56,0.17,Pull-Residual,5
16.22,16.04,0.16,Push-Async,5
27.62,27.45,0.15,Push-Sync,5
19.43,19.24,0.17,Pull-Topo,6
13.85,13.64,0.19,Pull-Residual,6
16.40,16.19,0.18,Push-Async,6
28.29,28.06,0.21,Push-Sync,6
19.33,19.14,0.17,Pull-Topo,7
14.18,13.96,0.19,Pull-Residual,7
16.21,16.05,0.14,Push-Async,7
27.71,27.50,0.18,Push-Sync,7
19.22,19.00,0.20,Pull-Topo,8
14.52,14.27,0.22,Pull-Residual,8
16.45,16.26,0.16,Push-Async,8
27.56,27.36,0.18,Push-Sync,8
20.03,19.82,0.19,Pull-Topo,9
15.83,15.63,0.18,Pull-Residual,9
16.25,16.08,0.16,Push-Async,9
27.62,27.41,0.20,Push-Sync,9
19.26,19.06,0.18,Pull-Topo,10
14.90,14.72,0.15,Pull-Residual,10
16.93,16.71,0.20,Push-Async,10
27.65,27.45,0.19,Push-Sync,10
19.24,19.08,0.13,Pull-Topo,11
14.06,13.87,0.17,Pull-Residual,11
16.65,16.44,0.18,Push-Async,11
27.62,27.41,0.18,Push-Sync,11
19.27,19.07,0.18,Pull-Topo,12
15.28,15.10,0.15,Pull-Residual,12
16.18,15.98,0.18,Push-Async,12
27.64,27.43,0.18,Push-Sync,12
19.28,19.09,0.18,Pull-Topo,13
14.47,14.30,0.15,Pull-Residual,13
16.61,16.42,0.17,Push-Async,13
27.61,27.41,0.17,Push-Sync,13
19.25,19.03,0.19,Pull-Topo,14
15.19,14.98,0.18,Pull-Residual,14
16.19,16.01,0.16,Push-Async,14
27.58,27.39,0.17,Push-Sync,14
19.26,19.07,0.17,Pull-Topo,15
13.95,13.77,0.16,Pull-Residual,15
16.13,15.92,0.18,Push-Async,15
27.88,27.67,0.18,Push-Sync,15
19.28,19.10,0.16,Pull-Topo,16
14.55,14.32,0.21,Pull-Residual,16
16.22,16.05,0.15,Push-Async,16
27.74,27.52,0.20,Push-Sync,16
19.84,19.64,0.18,Pull-Topo,17
14.58,14.39,0.17,Pull-Residual,17
16.57,16.40,0.15,Push-Async,17
28.01,27.81,0.17,Push-Sync,17
19.27,19.07,0.18,Pull-Topo,18
14.20,14.00,0.18,Pull-Residual,18
16.42,16.21,0.18,Push-Async,18
27.93,27.74,0.18,Push-Sync,18
19.91,19.73,0.16,Pull-Topo,19
15.22,15.04,0.16,Pull-Residual,19
16.15,15.97,0.16,Push-Async,19
28.38,28.19,0.17,Push-Sync,19
19.92,19.73,0.16,Pull-Topo,20
14.54,14.34,0.18,Pull-Residual,20
16.42,16.24,0.16,Push-Async,20
27.65,27.44,0.19,Push-Sync,20
19.91,19.69,0.19,Pull-Topo,21
15.01,14.84,0.15,Pull-Residual,21
16.18,15.95,0.20,Push-Async,21
27.75,27.57,0.16,Push-Sync,21
19.33,19.16,0.15,Pull-Topo,22
14.49,14.29,0.18,Pull-Residual,22
16.16,16.01,0.13,Push-Async,22
27.95,27.79,0.14,Push-Sync,22
19.21,18.99,0.19,Pull-Topo,23
14.47,14.27,0.17,Pull-Residual,23
16.51,16.35,0.13,Push-Async,23
27.74,27.55,0.17,Push-Sync,23
19.22,19.03,0.17,Pull-Topo,24
16.33,16.15,0.15,Pull-Residual,24
16.78,16.59,0.17,Push-Async,24
27.93,27.77,0.14,Push-Sync,24
19.29,19.12,0.15,Pull-Topo,25
14.47,14.28,0.17,Pull-Residual,25
16.18,15.99,0.17,Push-Async,25
28.32,28.10,0.21,Push-Sync,25
