Real,User,Sys,Algorithm
0.58,0.34,0.21,Sync
1.03,0.82,0.20,Async
1.32,1.06,0.25,EdgeAsync
1.07,0.88,0.17,EtiledAsync
4.20,3.99,0.21,BlkdAsync
1.04,0.79,0.23,LabelProc
1.42,1.22,0.21,Serial
