Real,User,Sys,Algorithm,Iteration
20.35,20.14,0.19,Pull-Topo,1
15.86,15.64,0.20,Pull-Residual,1
18.49,18.30,0.17,Push-Async,1
30.52,30.31,0.19,Push-Sync,1
20.52,20.31,0.19,Pull-Topo,2
15.16,14.91,0.22,Pull-Residual,2
18.32,18.07,0.22,Push-Async,2
30.13,29.90,0.21,Push-Sync,2
20.65,20.43,0.20,Pull-Topo,3
15.37,15.11,0.24,Pull-Residual,3
18.25,18.03,0.20,Push-Async,3
30.13,29.92,0.18,Push-Sync,3
20.56,20.35,0.19,Pull-Topo,4
15.87,15.66,0.19,Pull-Residual,4
18.50,18.24,0.24,Push-Async,4
30.64,30.39,0.22,Push-Sync,4
20.70,20.47,0.20,Pull-Topo,5
15.85,15.60,0.23,Pull-Residual,5
18.45,18.19,0.24,Push-Async,5
30.44,30.20,0.22,Push-Sync,5
20.21,19.96,0.23,Pull-Topo,6
15.90,15.68,0.20,Pull-Residual,6
18.35,18.10,0.23,Push-Async,6
30.44,30.20,0.21,Push-Sync,6
20.81,20.58,0.21,Pull-Topo,7
15.59,15.35,0.22,Pull-Residual,7
18.06,17.82,0.22,Push-Async,7
29.96,29.74,0.20,Push-Sync,7
20.45,20.23,0.20,Pull-Topo,8
15.89,15.64,0.22,Pull-Residual,8
18.40,18.16,0.21,Push-Async,8
30.47,30.23,0.21,Push-Sync,8
20.46,20.22,0.22,Pull-Topo,9
15.98,15.76,0.20,Pull-Residual,9
18.34,18.12,0.19,Push-Async,9
30.20,29.95,0.22,Push-Sync,9
20.96,20.76,0.18,Pull-Topo,10
15.24,15.01,0.21,Pull-Residual,10
18.04,17.82,0.20,Push-Async,10
30.28,30.08,0.18,Push-Sync,10
20.30,20.03,0.24,Pull-Topo,11
15.19,14.97,0.20,Pull-Residual,11
18.10,17.88,0.20,Push-Async,11
30.66,30.42,0.22,Push-Sync,11
20.63,20.39,0.21,Pull-Topo,12
15.61,15.36,0.22,Pull-Residual,12
18.25,18.02,0.20,Push-Async,12
30.20,30.00,0.18,Push-Sync,12
20.79,20.56,0.21,Pull-Topo,13
15.37,15.15,0.20,Pull-Residual,13
18.30,18.08,0.21,Push-Async,13
30.61,30.39,0.20,Push-Sync,13
20.60,20.35,0.22,Pull-Topo,14
15.18,14.93,0.22,Pull-Residual,14
18.35,18.12,0.22,Push-Async,14
30.10,29.86,0.22,Push-Sync,14
20.71,20.49,0.20,Pull-Topo,15
15.37,15.14,0.21,Pull-Residual,15
18.25,18.00,0.22,Push-Async,15
30.72,30.49,0.22,Push-Sync,15
20.40,20.17,0.20,Pull-Topo,16
15.85,15.60,0.22,Pull-Residual,16
18.48,18.24,0.21,Push-Async,16
30.67,30.43,0.22,Push-Sync,16
20.84,20.61,0.20,Pull-Topo,17
14.92,14.66,0.23,Pull-Residual,17
18.00,17.77,0.21,Push-Async,17
30.09,29.87,0.20,Push-Sync,17
20.83,20.60,0.20,Pull-Topo,18
16.01,15.77,0.22,Pull-Residual,18
18.22,17.96,0.24,Push-Async,18
30.58,30.35,0.20,Push-Sync,18
20.70,20.48,0.20,Pull-Topo,19
15.28,15.05,0.21,Pull-Residual,19
18.11,17.87,0.22,Push-Async,19
30.27,30.02,0.24,Push-Sync,19
20.93,20.71,0.20,Pull-Topo,20
15.09,14.86,0.22,Pull-Residual,20
18.13,17.88,0.22,Push-Async,20
30.22,30.00,0.20,Push-Sync,20
20.69,20.48,0.18,Pull-Topo,21
14.97,14.73,0.22,Pull-Residual,21
18.31,18.09,0.20,Push-Async,21
30.31,30.08,0.21,Push-Sync,21
20.62,20.40,0.20,Pull-Topo,22
15.86,15.61,0.22,Pull-Residual,22
18.32,18.07,0.23,Push-Async,22
30.32,30.09,0.21,Push-Sync,22
20.38,20.15,0.20,Pull-Topo,23
15.33,15.12,0.19,Pull-Residual,23
18.19,17.98,0.18,Push-Async,23
30.11,29.85,0.24,Push-Sync,23
20.37,20.15,0.20,Pull-Topo,24
15.81,15.58,0.20,Pull-Residual,24
18.56,18.30,0.23,Push-Async,24
30.33,30.12,0.19,Push-Sync,24
20.62,20.39,0.22,Pull-Topo,25
15.11,14.85,0.23,Pull-Residual,25
18.23,18.00,0.21,Push-Async,25
30.37,30.16,0.18,Push-Sync,25
