Real,User,Sys,Algorithm,Iteration
22.42,20.44,0.35,Pull-Topo,1
15.89,15.68,0.19,Pull-Residual,1
18.53,18.30,0.21,Push-Async,1
30.58,30.38,0.17,Push-Sync,1
20.62,20.40,0.20,Pull-Topo,2
15.99,15.74,0.23,Pull-Residual,2
18.11,17.88,0.20,Push-Async,2
30.82,30.62,0.19,Push-Sync,2
20.84,20.62,0.20,Pull-Topo,3
15.65,15.38,0.24,Pull-Residual,3
18.00,17.78,0.20,Push-Async,3
30.46,30.24,0.20,Push-Sync,3
20.70,20.50,0.18,Pull-Topo,4
15.36,15.09,0.24,Pull-Residual,4
18.25,18.03,0.19,Push-Async,4
30.23,30.01,0.20,Push-Sync,4
20.82,20.59,0.21,Pull-Topo,5
15.19,14.97,0.20,Pull-Residual,5
18.08,17.87,0.19,Push-Async,5
30.29,30.07,0.20,Push-Sync,5
20.54,20.35,0.17,Pull-Topo,6
15.69,15.43,0.23,Pull-Residual,6
18.14,17.90,0.22,Push-Async,6
30.09,29.87,0.20,Push-Sync,6
20.71,20.50,0.20,Pull-Topo,7
15.65,15.45,0.17,Pull-Residual,7
18.06,17.84,0.19,Push-Async,7
30.35,30.14,0.19,Push-Sync,7
20.56,20.32,0.22,Pull-Topo,8
15.36,15.13,0.21,Pull-Residual,8
18.19,17.96,0.21,Push-Async,8
30.22,30.01,0.20,Push-Sync,8
20.41,20.19,0.20,Pull-Topo,9
15.87,15.63,0.22,Pull-Residual,9
18.22,17.99,0.20,Push-Async,9
30.20,30.01,0.17,Push-Sync,9
20.59,20.35,0.22,Pull-Topo,10
15.79,15.58,0.20,Pull-Residual,10
18.37,18.13,0.22,Push-Async,10
30.59,30.36,0.21,Push-Sync,10
20.62,20.38,0.22,Pull-Topo,11
15.18,14.97,0.19,Pull-Residual,11
18.22,17.96,0.24,Push-Async,11
30.56,30.35,0.19,Push-Sync,11
20.63,20.41,0.20,Pull-Topo,12
13.56,13.33,0.22,Pull-Residual,12
17.99,17.76,0.20,Push-Async,12
30.44,30.23,0.19,Push-Sync,12
20.71,20.49,0.20,Pull-Topo,13
15.79,15.55,0.21,Pull-Residual,13
18.45,18.24,0.19,Push-Async,13
30.30,30.05,0.23,Push-Sync,13
20.82,20.63,0.16,Pull-Topo,14
15.77,15.56,0.19,Pull-Residual,14
18.06,17.79,0.24,Push-Async,14
30.39,30.16,0.21,Push-Sync,14
20.55,20.32,0.21,Pull-Topo,15
15.65,15.42,0.21,Pull-Residual,15
18.00,17.75,0.23,Push-Async,15
30.21,30.02,0.16,Push-Sync,15
20.22,19.99,0.21,Pull-Topo,16
15.56,15.35,0.20,Pull-Residual,16
18.05,17.81,0.21,Push-Async,16
30.30,30.10,0.18,Push-Sync,16
20.45,20.21,0.22,Pull-Topo,17
14.95,14.70,0.23,Pull-Residual,17
18.26,18.04,0.20,Push-Async,17
30.07,29.84,0.20,Push-Sync,17
20.35,20.08,0.25,Pull-Topo,18
15.45,15.24,0.18,Pull-Residual,18
18.28,18.05,0.20,Push-Async,18
30.38,30.17,0.19,Push-Sync,18
20.51,20.31,0.18,Pull-Topo,19
15.89,15.66,0.21,Pull-Residual,19
18.29,18.07,0.20,Push-Async,19
30.30,30.07,0.21,Push-Sync,19
20.58,20.36,0.19,Pull-Topo,20
15.64,15.44,0.18,Pull-Residual,20
18.30,18.08,0.20,Push-Async,20
30.68,30.42,0.24,Push-Sync,20
20.43,20.19,0.22,Pull-Topo,21
15.77,15.55,0.19,Pull-Residual,21
18.16,17.90,0.24,Push-Async,21
29.97,29.73,0.22,Push-Sync,21
20.82,20.60,0.20,Pull-Topo,22
15.23,14.98,0.22,Pull-Residual,22
17.99,17.75,0.21,Push-Async,22
30.32,30.10,0.20,Push-Sync,22
20.71,20.48,0.20,Pull-Topo,23
15.05,14.84,0.19,Pull-Residual,23
18.41,18.18,0.21,Push-Async,23
30.26,30.04,0.21,Push-Sync,23
20.47,20.27,0.18,Pull-Topo,24
15.17,14.96,0.20,Pull-Residual,24
18.07,17.82,0.22,Push-Async,24
30.32,30.11,0.18,Push-Sync,24
20.81,20.59,0.20,Pull-Topo,25
15.39,15.17,0.21,Pull-Residual,25
18.24,18.02,0.20,Push-Async,25
30.18,29.98,0.17,Push-Sync,25
