Real,User,Sys,Algorithm
0.59,0.36,0.21,Sync
1.39,1.19,0.21,Async
1.75,1.45,0.28,EdgeAsync
1.75,1.52,0.21,EtiledAsync
4.38,4.14,0.22,BlkdAsync
1.21,0.98,0.21,LabelProc
1.73,1.49,0.22,Serial
