Real,User,Sys,Algorithm
0.56,0.36,0.18,Sync
1.27,1.04,0.23,Async
1.63,1.34,0.27,EdgeAsync
1.32,1.08,0.22,EtiledAsync
4.62,4.38,0.22,BlkdAsync
1.17,0.93,0.22,LabelProc
1.72,1.49,0.21,Serial
