Real,User,Sys,Algorithm,Iteration
5.96,39.12,0.74,NodeIterator,1
1.70,16.27,0.50,EdgeIterator,1
2.86,29.51,0.55,NodeIterator,2
1.71,16.56,0.50,EdgeIterator,2
2.89,29.46,0.69,NodeIterator,3
1.68,16.29,0.45,EdgeIterator,3
2.91,30.04,0.57,NodeIterator,4
1.72,16.46,0.49,EdgeIterator,4
3.01,31.14,0.57,NodeIterator,5
1.74,16.84,0.44,EdgeIterator,5
2.94,30.34,0.74,NodeIterator,6
1.71,16.62,0.41,EdgeIterator,6
2.91,29.95,0.64,NodeIterator,7
1.70,16.49,0.48,EdgeIterator,7
3.30,30.37,0.48,NodeIterator,8
1.71,16.47,0.48,EdgeIterator,8
3.08,31.66,0.68,NodeIterator,9
1.75,17.00,0.39,EdgeIterator,9
3.04,31.34,0.57,NodeIterator,10
1.72,16.63,0.49,EdgeIterator,10
2.93,30.11,0.60,NodeIterator,11
1.68,16.27,0.55,EdgeIterator,11
2.88,29.65,0.60,NodeIterator,12
1.71,16.64,0.44,EdgeIterator,12
2.95,30.38,0.64,NodeIterator,13
1.75,17.00,0.44,EdgeIterator,13
2.95,30.61,0.50,NodeIterator,14
1.73,16.65,0.53,EdgeIterator,14
3.00,30.85,0.63,NodeIterator,15
1.74,16.83,0.47,EdgeIterator,15
2.96,30.51,0.66,NodeIterator,16
1.71,16.56,0.51,EdgeIterator,16
2.92,30.14,0.51,NodeIterator,17
1.68,16.43,0.41,EdgeIterator,17
2.87,29.56,0.74,NodeIterator,18
1.70,16.52,0.46,EdgeIterator,18
2.92,30.33,0.55,NodeIterator,19
1.75,16.99,0.51,EdgeIterator,19
3.01,30.71,0.60,NodeIterator,20
1.73,16.73,0.49,EdgeIterator,20
2.98,30.85,0.64,NodeIterator,21
1.74,16.86,0.49,EdgeIterator,21
2.96,30.40,0.68,NodeIterator,22
1.72,16.74,0.41,EdgeIterator,22
2.91,30.07,0.60,NodeIterator,23
1.70,16.40,0.43,EdgeIterator,23
2.86,29.54,0.64,NodeIterator,24
1.71,16.57,0.44,EdgeIterator,24
2.92,30.28,0.61,NodeIterator,25
1.75,16.95,0.44,EdgeIterator,25
