Real,User,Sys,Algorithm
0.58,0.35,0.20,Sync
1.87,1.62,0.24,Async
2.19,1.94,0.24,EdgeAsync
1.88,1.67,0.19,EtiledAsync
5.03,4.79,0.22,BlkdAsync
2.16,1.93,0.21,LabelProc
3.30,3.08,0.20,Serial
