Real,User,Sys,Algorithm,Vertex_ID,Unvisited
3.26,1.30,0.52,AsyncTile,0,447224
1.59,1.35,0.20,Async,0,447224
1.49,1.21,0.24,Sync,0,447224
1.46,1.19,0.23,SyncTile,0,447224
1.39,1.13,0.22,Sync2p,0,447224
1.41,1.13,0.24,Sync2pTile,0,447224
1.55,1.27,0.25,AsyncTile,10009,447224
1.57,1.27,0.26,Async,10009,447224
1.47,1.20,0.23,Sync,10009,447224
1.45,1.19,0.23,SyncTile,10009,447224
1.38,1.11,0.24,Sync2p,10009,447224
1.40,1.14,0.23,Sync2pTile,10009,447224
0.62,0.37,0.22,AsyncTile,152,4847570
0.59,0.35,0.24,Async,152,4847570
0.59,0.36,0.22,Sync,152,4847570
0.59,0.35,0.23,SyncTile,152,4847570
0.58,0.35,0.23,Sync2p,152,4847570
0.59,0.36,0.22,Sync2pTile,152,4847570
1.56,1.33,0.21,AsyncTile,198715,447224
1.58,1.29,0.26,Async,198715,447224
1.47,1.19,0.25,Sync,198715,447224
1.49,1.19,0.26,SyncTile,198715,447224
1.39,1.11,0.25,Sync2p,198715,447224
1.41,1.13,0.25,Sync2pTile,198715,447224
1.56,1.27,0.25,AsyncTile,2364701,447224
1.59,1.32,0.24,Async,2364701,447224
1.47,1.22,0.22,Sync,2364701,447224
1.45,1.21,0.20,SyncTile,2364701,447224
1.41,1.17,0.21,Sync2p,2364701,447224
1.42,1.18,0.20,Sync2pTile,2364701,447224
1.64,1.39,0.21,AsyncTile,4191829,447224
1.71,1.40,0.27,Async,4191829,447224
1.57,1.25,0.28,Sync,4191829,447224
1.53,1.27,0.22,SyncTile,4191829,447224
1.40,1.14,0.23,Sync2p,4191829,447224
1.42,1.14,0.24,Sync2pTile,4191829,447224
1.69,1.40,0.25,AsyncTile,2457030,447224
1.64,1.37,0.23,Async,2457030,447224
1.56,1.30,0.22,Sync,2457030,447224
1.50,1.21,0.26,SyncTile,2457030,447224
1.44,1.17,0.23,Sync2p,2457030,447224
1.44,1.14,0.26,Sync2pTile,2457030,447224
1.73,1.47,0.22,AsyncTile,2050404,447224
1.69,1.39,0.26,Async,2050404,447224
1.80,1.46,0.30,Sync,2050404,447224
1.83,1.57,0.22,SyncTile,2050404,447224
1.67,1.41,0.22,Sync2p,2050404,447224
1.86,1.54,0.27,Sync2pTile,2050404,447224
1.64,1.33,0.27,AsyncTile,2806161,447224
1.89,1.59,0.26,Async,2806161,447224
1.71,1.42,0.25,Sync,2806161,447224
1.79,1.52,0.23,SyncTile,2806161,447224
1.91,1.62,0.25,Sync2p,2806161,447224
1.76,1.48,0.24,Sync2pTile,2806161,447224
1.86,1.59,0.25,AsyncTile,1577990,447224
1.68,1.39,0.27,Async,1577990,447224
1.56,1.30,0.24,Sync,1577990,447224
1.64,1.37,0.24,SyncTile,1577990,447224
1.54,1.28,0.25,Sync2p,1577990,447224
1.71,1.42,0.28,Sync2pTile,1577990,447224
1.78,1.52,0.24,AsyncTile,3963199,447224
1.82,1.56,0.24,Async,3963199,447224
1.56,1.32,0.22,Sync,3963199,447224
1.52,1.25,0.25,SyncTile,3963199,447224
1.46,1.17,0.25,Sync2p,3963199,447224
1.45,1.20,0.22,Sync2pTile,3963199,447224
1.59,1.28,0.29,AsyncTile,3411171,447224
1.61,1.35,0.24,Async,3411171,447224
1.51,1.26,0.24,Sync,3411171,447224
1.49,1.24,0.22,SyncTile,3411171,447224
1.44,1.19,0.23,Sync2p,3411171,447224
1.43,1.18,0.23,Sync2pTile,3411171,447224
1.60,1.33,0.25,AsyncTile,3713194,447224
1.62,1.35,0.24,Async,3713194,447224
1.53,1.26,0.25,Sync,3713194,447224
1.48,1.20,0.26,SyncTile,3713194,447224
1.42,1.15,0.24,Sync2p,3713194,447224
1.45,1.19,0.23,Sync2pTile,3713194,447224
1.62,1.37,0.24,AsyncTile,4296099,447224
1.65,1.35,0.28,Async,4296099,447224
1.50,1.25,0.23,Sync,4296099,447224
1.48,1.21,0.25,SyncTile,4296099,447224
