Real,User,Sys,Algorithm,Iteration
16.30,16.05,0.23,Pull-Topo,1
13.18,12.91,0.24,Pull-Residual,1
16.43,16.21,0.19,Push-Async,1
29.13,28.92,0.19,Push-Sync,1
16.23,15.99,0.21,Pull-Topo,2
13.24,13.01,0.21,Pull-Residual,2
16.38,16.16,0.20,Push-Async,2
28.89,28.66,0.21,Push-Sync,2
16.42,16.17,0.22,Pull-Topo,3
13.35,13.12,0.21,Pull-Residual,3
16.24,16.03,0.19,Push-Async,3
28.97,28.76,0.18,Push-Sync,3
16.57,16.31,0.23,Pull-Topo,4
12.95,12.70,0.22,Pull-Residual,4
16.50,16.25,0.24,Push-Async,4
28.95,28.71,0.22,Push-Sync,4
16.18,15.97,0.18,Pull-Topo,5
13.04,12.79,0.23,Pull-Residual,5
16.33,16.08,0.23,Push-Async,5
28.87,28.61,0.23,Push-Sync,5
15.96,15.73,0.20,Pull-Topo,6
13.14,12.88,0.24,Pull-Residual,6
16.26,16.01,0.23,Push-Async,6
28.38,28.15,0.21,Push-Sync,6
16.23,15.99,0.22,Pull-Topo,7
12.93,12.70,0.21,Pull-Residual,7
16.22,15.98,0.22,Push-Async,7
28.61,28.38,0.21,Push-Sync,7
16.37,16.13,0.22,Pull-Topo,8
13.11,12.88,0.21,Pull-Residual,8
16.37,16.15,0.20,Push-Async,8
28.85,28.59,0.24,Push-Sync,8
16.25,16.01,0.22,Pull-Topo,9
13.34,13.10,0.21,Pull-Residual,9
16.38,16.15,0.20,Push-Async,9
28.32,28.09,0.20,Push-Sync,9
16.06,15.82,0.22,Pull-Topo,10
13.10,12.87,0.21,Pull-Residual,10
16.41,16.15,0.24,Push-Async,10
28.81,28.55,0.23,Push-Sync,10
16.29,16.08,0.19,Pull-Topo,11
13.22,13.01,0.19,Pull-Residual,11
16.38,16.14,0.22,Push-Async,11
28.61,28.38,0.21,Push-Sync,11
16.20,15.96,0.22,Pull-Topo,12
13.01,12.79,0.19,Pull-Residual,12
16.66,16.43,0.21,Push-Async,12
28.46,28.27,0.17,Push-Sync,12
16.32,16.07,0.22,Pull-Topo,13
13.19,12.95,0.22,Pull-Residual,13
16.23,16.00,0.20,Push-Async,13
28.66,28.42,0.22,Push-Sync,13
16.15,15.94,0.19,Pull-Topo,14
13.13,12.89,0.22,Pull-Residual,14
16.48,16.23,0.22,Push-Async,14
28.72,28.47,0.23,Push-Sync,14
16.44,16.19,0.22,Pull-Topo,15
12.99,12.74,0.23,Pull-Residual,15
16.42,16.15,0.24,Push-Async,15
28.66,28.42,0.21,Push-Sync,15
16.46,16.20,0.24,Pull-Topo,16
13.27,13.03,0.22,Pull-Residual,16
16.55,16.31,0.22,Push-Async,16
28.84,28.60,0.21,Push-Sync,16
16.21,15.97,0.22,Pull-Topo,17
13.03,12.77,0.24,Pull-Residual,17
16.37,16.15,0.20,Push-Async,17
28.58,28.34,0.22,Push-Sync,17
16.24,16.01,0.20,Pull-Topo,18
13.34,13.06,0.26,Pull-Residual,18
16.31,16.09,0.19,Push-Async,18
28.62,28.40,0.20,Push-Sync,18
16.11,15.85,0.24,Pull-Topo,19
13.42,13.21,0.19,Pull-Residual,19
16.42,16.16,0.23,Push-Async,19
28.52,28.28,0.22,Push-Sync,19
16.27,16.01,0.24,Pull-Topo,20
13.32,13.07,0.22,Pull-Residual,20
16.53,16.33,0.17,Push-Async,20
28.79,28.57,0.20,Push-Sync,20
15.96,15.73,0.21,Pull-Topo,21
13.13,12.89,0.22,Pull-Residual,21
16.22,16.00,0.20,Push-Async,21
28.52,28.27,0.23,Push-Sync,21
16.08,15.84,0.21,Pull-Topo,22
13.03,12.80,0.21,Pull-Residual,22
16.26,16.05,0.19,Push-Async,22
28.61,28.36,0.23,Push-Sync,22
16.34,16.10,0.22,Pull-Topo,23
13.49,13.25,0.22,Pull-Residual,23
16.41,16.18,0.20,Push-Async,23
28.73,28.50,0.21,Push-Sync,23
16.39,16.14,0.23,Pull-Topo,24
13.11,12.87,0.22,Pull-Residual,24
16.20,15.97,0.21,Push-Async,24
28.82,28.56,0.23,Push-Sync,24
16.28,16.05,0.20,Pull-Topo,25
13.22,13.02,0.18,Pull-Residual,25
16.33,16.13,0.18,Push-Async,25
28.80,28.57,0.22,Push-Sync,25
