Real,User,Sys,Algorithm
0.58,0.35,0.20,Sync
1.01,0.81,0.20,Async
1.27,1.01,0.25,EdgeAsync
1.05,0.81,0.22,EtiledAsync
4.04,3.83,0.20,BlkdAsync
1.09,0.87,0.20,LabelProc
1.36,1.19,0.18,Serial
