Algorithm,Real,User,Sys
Sync,4.21,3.65,0.56
Sync,4.20,3.66,0.53
Sync,4.21,3.66,0.55
Sync,4.20,3.66,0.53
Sync,4.20,3.68,0.52
Sync,4.20,3.64,0.56
Sync,4.21,3.70,0.51
Sync,4.20,3.69,0.50
Sync,4.20,3.67,0.53
