Algorithm,Real,User,Sys
Sync,36.95,36.09,0.86
Sync,37.19,36.26,0.92
Sync,37.61,36.68,0.92
Sync,37.50,36.55,0.95
Sync,37.64,36.70,0.93
Sync,37.39,36.48,0.90
Sync,37.46,36.56,0.89
Sync,37.34,36.45,0.88
Sync,37.30,36.35,0.94
