Algorithm,Real,User,Sys
Sync,40.39,39.44,0.95
Sync,40.22,39.26,0.95
Sync,40.32,39.36,0.95
Sync,40.24,39.25,0.99
Sync,40.32,39.33,0.99
Sync,40.28,39.30,0.98
Sync,40.30,39.36,0.93
Sync,40.20,39.20,0.99
Sync,40.47,39.51,0.96
