Algorithm,Real,User,Sys
Sync,3.92,3.43,0.48
Sync,3.92,3.37,0.55
Sync,3.92,3.39,0.53
Sync,3.92,3.40,0.52
Sync,3.92,3.35,0.57
Sync,3.92,3.34,0.57
Sync,3.93,3.36,0.56
Sync,3.92,3.39,0.53
Sync,3.92,3.37,0.54
