Algorithm,Real,User,Sys
Sync,37.14,36.46,0.68
Sync,37.14,36.44,0.70
Sync,37.21,36.52,0.69
Sync,37.23,36.50,0.72
Sync,37.28,36.54,0.73
Sync,37.18,36.47,0.70
Sync,37.35,36.63,0.71
Sync,37.18,36.48,0.70
Sync,37.41,36.74,0.66
