Real,User,Sys,Algorithm,Dataset,Iteration,Unvisited
225.17,134.34,14.87,deltaTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,1,26562278
144.80,124.34,5.37,deltaStep,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,1,26562278
171.83,151.29,6.07,serDeltaTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,1,26562278
141.66,114.45,6.33,serDelta,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,1,26562278
178.03,156.69,6.40,dijkstraTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,1,26562278
148.95,120.58,6.66,dijkstra,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,1,26562278
113.55,93.09,5.55,topo,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,1,26562278
119.06,100.86,5.17,topoTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,1,26562278
148.48,132.50,4.82,deltaTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,2,26562278
138.40,122.97,4.78,deltaStep,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,2,26562278
169.84,153.94,4.94,serDeltaTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,2,26562278
138.07,114.63,5.65,serDelta,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,2,26562278
175.73,156.94,6.15,dijkstraTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,2,26562278
146.82,121.01,6.13,dijkstra,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,2,26562278
112.81,94.41,5.26,topo,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,2,26562278
117.24,100.74,4.89,topoTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,2,26562278
147.36,132.51,4.72,deltaTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,3,26562278
137.73,122.76,4.73,deltaStep,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,3,26562278
166.25,151.02,5.03,serDeltaTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,3,26562278
137.16,114.57,5.60,serDelta,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,3,26562278
175.20,157.19,6.02,dijkstraTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,3,26562278
150.94,121.24,6.51,dijkstra,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,3,26562278
114.66,93.38,5.59,topo,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,3,26562278
119.56,100.82,5.04,topoTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,3,26562278
149.74,132.54,5.11,deltaTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,4,26562278
140.04,123.04,4.99,deltaStep,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,4,26562278
168.50,151.43,5.16,serDeltaTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,4,26562278
140.02,114.76,5.79,serDelta,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,4,26562278
177.76,156.95,6.41,dijkstraTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,4,26562278
149.34,121.17,6.38,dijkstra,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,4,26562278
113.72,93.36,5.54,topo,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,4,26562278
118.90,100.88,5.15,topoTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,4,26562278
148.39,132.33,5.01,deltaTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,5,26562278
138.50,122.65,4.72,deltaStep,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,5,26562278
167.18,151.06,5.17,serDeltaTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,5,26562278
139.20,114.87,5.78,serDelta,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,5,26562278
178.00,158.00,6.41,dijkstraTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,5,26562278
149.41,121.58,6.50,dijkstra,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,5,26562278
113.62,93.74,5.25,topo,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,5,26562278
118.74,100.81,5.14,topoTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,5,26562278
148.25,132.37,4.98,deltaTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,6,26562278
140.16,124.09,4.94,deltaStep,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,6,26562278
167.14,150.89,5.18,serDeltaTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,6,26562278
137.87,114.41,5.77,serDelta,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,6,26562278
167.68,156.95,5.20,dijkstraTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,6,26562278
140.83,121.64,5.49,dijkstra,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,6,26562278
108.47,93.55,4.71,topo,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,6,26562278
109.13,100.76,3.96,topoTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,6,26562278
139.06,132.66,3.86,deltaTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,7,26562278
128.98,123.24,3.70,deltaStep,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,7,26562278
157.44,150.93,4.13,serDeltaTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,7,26562278
128.61,114.49,4.67,serDelta,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,7,26562278
165.90,156.42,5.18,dijkstraTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,7,26562278
137.54,120.85,5.18,dijkstra,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,7,26562278
103.11,93.19,4.30,topo,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,7,26562278
109.09,101.63,3.95,topoTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,7,26562278
140.02,134.53,3.53,deltaTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,8,26562278
128.53,122.73,3.76,deltaStep,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,8,26562278
156.66,150.55,4.12,serDeltaTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,8,26562278
128.17,114.19,4.88,serDelta,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,8,26562278
165.87,156.64,5.34,dijkstraTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,8,26562278
137.60,121.12,5.14,dijkstra,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,8,26562278
101.73,93.29,4.13,topo,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,8,26562278
107.35,100.46,3.88,topoTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,8,26562278
138.35,133.62,3.54,deltaTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,9,26562278
127.25,122.39,3.62,deltaStep,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,9,26562278
155.92,150.46,4.27,serDeltaTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,9,26562278
127.94,114.76,4.48,serDelta,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,9,26562278
166.08,157.35,5.00,dijkstraTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,9,26562278
136.47,120.57,5.27,dijkstra,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,9,26562278
101.34,93.02,4.27,topo,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,9,26562278
106.27,100.65,3.66,topoTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,9,26562278
136.90,132.63,3.57,deltaTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,10,26562278
130.73,122.52,4.08,deltaStep,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,10,26562278
159.56,151.17,4.28,serDeltaTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,10,26562278
130.69,114.35,4.99,serDelta,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,10,26562278
169.08,157.23,5.42,dijkstraTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,10,26562278
139.54,120.92,5.39,dijkstra,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,10,26562278
104.56,93.69,4.46,topo,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,10,26562278
110.10,100.91,4.26,topoTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,10,26562278
139.96,132.57,4.09,deltaTile,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,11,26562278
129.48,122.65,3.95,deltaStep,../../datasets/twitter_rv/twitter_rv-default-weighted-1.gr,11,26562278
