Real,User,Sys,Algorithm,Iteration
6636093 unvisited nodes; this is an error if the graph is strongly connected
62.61,25.81,5.13,AsyncTile,1
6636093 unvisited nodes; this is an error if the graph is strongly connected
28.33,25.99,2.32,Async,1
6636093 unvisited nodes; this is an error if the graph is strongly connected
26.63,24.31,2.30,Sync,1
6636093 unvisited nodes; this is an error if the graph is strongly connected
27.61,25.35,2.24,SyncTile,1
6636093 unvisited nodes; this is an error if the graph is strongly connected
25.93,23.42,2.49,Sync2p,1
6636093 unvisited nodes; this is an error if the graph is strongly connected
26.43,24.11,2.29,Sync2pTile,1
6636093 unvisited nodes; this is an error if the graph is strongly connected
28.34,26.02,2.30,AsyncTile,2
6636093 unvisited nodes; this is an error if the graph is strongly connected
27.93,25.69,2.22,Async,2
6636093 unvisited nodes; this is an error if the graph is strongly connected
26.94,24.65,2.26,Sync,2
6636093 unvisited nodes; this is an error if the graph is strongly connected
27.30,25.01,2.26,SyncTile,2
6636093 unvisited nodes; this is an error if the graph is strongly connected
25.60,23.21,2.36,Sync2p,2
6636093 unvisited nodes; this is an error if the graph is strongly connected
26.01,23.62,2.36,Sync2pTile,2
6636093 unvisited nodes; this is an error if the graph is strongly connected
27.63,25.36,2.25,AsyncTile,3
6636093 unvisited nodes; this is an error if the graph is strongly connected
28.08,25.75,2.31,Async,3
6636093 unvisited nodes; this is an error if the graph is strongly connected
26.98,24.72,2.24,Sync,3
6636093 unvisited nodes; this is an error if the graph is strongly connected
27.44,25.18,2.24,SyncTile,3
6636093 unvisited nodes; this is an error if the graph is strongly connected
25.61,23.18,2.40,Sync2p,3
6636093 unvisited nodes; this is an error if the graph is strongly connected
26.20,23.92,2.26,Sync2pTile,3
6636093 unvisited nodes; this is an error if the graph is strongly connected
28.11,25.80,2.28,AsyncTile,4
6636093 unvisited nodes; this is an error if the graph is strongly connected
28.16,25.81,2.33,Async,4
6636093 unvisited nodes; this is an error if the graph is strongly connected
26.70,24.42,2.26,Sync,4
6636093 unvisited nodes; this is an error if the graph is strongly connected
27.38,25.14,2.22,SyncTile,4
6636093 unvisited nodes; this is an error if the graph is strongly connected
25.87,23.46,2.39,Sync2p,4
6636093 unvisited nodes; this is an error if the graph is strongly connected
25.89,23.58,2.29,Sync2pTile,4
6636093 unvisited nodes; this is an error if the graph is strongly connected
28.02,25.76,2.23,AsyncTile,5
6636093 unvisited nodes; this is an error if the graph is strongly connected
28.09,25.73,2.33,Async,5
6636093 unvisited nodes; this is an error if the graph is strongly connected
26.97,24.67,2.28,Sync,5
6636093 unvisited nodes; this is an error if the graph is strongly connected
27.55,25.13,2.40,SyncTile,5
6636093 unvisited nodes; this is an error if the graph is strongly connected
25.90,23.49,2.39,Sync2p,5
6636093 unvisited nodes; this is an error if the graph is strongly connected
26.21,23.93,2.26,Sync2pTile,5
6636093 unvisited nodes; this is an error if the graph is strongly connected
28.20,25.75,2.43,AsyncTile,6
6636093 unvisited nodes; this is an error if the graph is strongly connected
28.22,25.82,2.38,Async,6
6636093 unvisited nodes; this is an error if the graph is strongly connected
26.98,24.59,2.38,Sync,6
6636093 unvisited nodes; this is an error if the graph is strongly connected
27.55,25.15,2.37,SyncTile,6
6636093 unvisited nodes; this is an error if the graph is strongly connected
25.57,23.19,2.36,Sync2p,6
6636093 unvisited nodes; this is an error if the graph is strongly connected
26.24,23.81,2.40,Sync2pTile,6
6636093 unvisited nodes; this is an error if the graph is strongly connected
27.63,25.19,2.41,AsyncTile,7
6636093 unvisited nodes; this is an error if the graph is strongly connected
27.58,25.32,2.23,Async,7
6636093 unvisited nodes; this is an error if the graph is strongly connected
26.75,24.37,2.36,Sync,7
6636093 unvisited nodes; this is an error if the graph is strongly connected
27.23,25.01,2.19,SyncTile,7
6636093 unvisited nodes; this is an error if the graph is strongly connected
25.72,23.48,2.22,Sync2p,7
6636093 unvisited nodes; this is an error if the graph is strongly connected
25.87,23.56,2.29,Sync2pTile,7
6636093 unvisited nodes; this is an error if the graph is strongly connected
28.52,26.22,2.27,AsyncTile,8
6636093 unvisited nodes; this is an error if the graph is strongly connected
28.81,26.52,2.26,Async,8
6636093 unvisited nodes; this is an error if the graph is strongly connected
26.81,24.51,2.28,Sync,8
6636093 unvisited nodes; this is an error if the graph is strongly connected
27.93,25.51,2.40,SyncTile,8
6636093 unvisited nodes; this is an error if the graph is strongly connected
26.18,23.86,2.31,Sync2p,8
6636093 unvisited nodes; this is an error if the graph is strongly connected
26.33,24.00,2.31,Sync2pTile,8
6636093 unvisited nodes; this is an error if the graph is strongly connected
28.26,25.90,2.34,AsyncTile,9
6636093 unvisited nodes; this is an error if the graph is strongly connected
27.65,25.39,2.24,Async,9
6636093 unvisited nodes; this is an error if the graph is strongly connected
26.61,24.30,2.28,Sync,9
6636093 unvisited nodes; this is an error if the graph is strongly connected
27.88,25.59,2.27,SyncTile,9
6636093 unvisited nodes; this is an error if the graph is strongly connected
25.82,23.55,2.25,Sync2p,9
6636093 unvisited nodes; this is an error if the graph is strongly connected
26.52,24.19,2.30,Sync2pTile,9
6636093 unvisited nodes; this is an error if the graph is strongly connected
28.19,25.86,2.31,AsyncTile,10
6636093 unvisited nodes; this is an error if the graph is strongly connected
27.93,25.54,2.36,Async,10
6636093 unvisited nodes; this is an error if the graph is strongly connected
26.86,24.43,2.41,Sync,10
6636093 unvisited nodes; this is an error if the graph is strongly connected
27.35,25.06,2.27,SyncTile,10
6636093 unvisited nodes; this is an error if the graph is strongly connected
25.76,23.45,2.29,Sync2p,10
6636093 unvisited nodes; this is an error if the graph is strongly connected
26.38,24.18,2.18,Sync2pTile,10
6636093 unvisited nodes; this is an error if the graph is strongly connected
27.77,25.38,2.36,AsyncTile,11
6636093 unvisited nodes; this is an error if the graph is strongly connected
28.19,25.84,2.33,Async,11
6636093 unvisited nodes; this is an error if the graph is strongly connected
26.85,24.48,2.34,Sync,11
6636093 unvisited nodes; this is an error if the graph is strongly connected
27.85,25.57,2.26,SyncTile,11
6636093 unvisited nodes; this is an error if the graph is strongly connected
25.92,23.68,2.22,Sync2p,11
6636093 unvisited nodes; this is an error if the graph is strongly connected
26.35,24.09,2.23,Sync2pTile,11
6636093 unvisited nodes; this is an error if the graph is strongly connected
28.45,26.11,2.31,AsyncTile,12
6636093 unvisited nodes; this is an error if the graph is strongly connected
28.16,25.73,2.40,Async,12
6636093 unvisited nodes; this is an error if the graph is strongly connected
26.49,24.15,2.31,Sync,12
6636093 unvisited nodes; this is an error if the graph is strongly connected
27.93,25.55,2.36,SyncTile,12
6636093 unvisited nodes; this is an error if the graph is strongly connected
25.80,23.46,2.32,Sync2p,12
6636093 unvisited nodes; this is an error if the graph is strongly connected
26.46,24.13,2.31,Sync2pTile,12
6636093 unvisited nodes; this is an error if the graph is strongly connected
28.07,25.79,2.25,AsyncTile,13
