Real,User,Sys,Algorithm,Vertex_ID,Unvisited
36.03,33.23,2.77,Async,27956640,26562277
35.16,32.34,2.58,Sync,27956640,26562277
34.96,31.66,2.99,SyncTile,27956640,26562277
34.38,31.34,2.74,Sync2p,27956640,26562277
34.59,31.61,2.74,Sync2pTile,27956640,26562277
38.57,35.65,2.89,AsyncTile,35454439,26562278
35.27,32.62,2.63,Async,35454439,26562278
39.91,37.07,2.81,Sync,35454439,26562278
39.13,36.10,3.00,SyncTile,35454439,26562278
35.24,32.18,3.03,Sync2p,35454439,26562278
38.12,35.05,3.04,Sync2pTile,35454439,26562278
38.71,35.86,2.79,AsyncTile,41964252,26562278
36.85,34.01,2.79,Async,41964252,26562278
37.17,34.08,2.94,Sync,41964252,26562278
36.46,33.16,2.95,SyncTile,41964252,26562278
34.55,31.29,2.94,Sync2p,41964252,26562278
33.54,30.53,2.86,Sync2pTile,41964252,26562278
35.38,32.67,2.67,AsyncTile,45842320,26562278
33.13,30.57,2.43,Async,45842320,26562278
37.22,34.25,2.75,Sync,45842320,26562278
31.67,28.87,2.75,SyncTile,45842320,26562278
30.97,28.18,2.74,Sync2p,45842320,26562278
30.84,28.13,2.66,Sync2pTile,45842320,26562278
34.17,31.51,2.61,AsyncTile,41773642,26562277
32.12,29.57,2.50,Async,41773642,26562277
31.88,29.32,2.51,Sync,41773642,26562277
31.35,28.56,2.74,SyncTile,41773642,26562277
30.73,28.20,2.48,Sync2p,41773642,26562277
30.92,28.29,2.59,Sync2pTile,41773642,26562277
34.10,31.47,2.58,AsyncTile,33024136,26562278
31.97,29.56,2.37,Async,33024136,26562278
31.74,29.27,2.42,Sync,33024136,26562278
31.36,28.56,2.76,SyncTile,33024136,26562278
30.60,28.08,2.47,Sync2p,33024136,26562278
30.98,28.34,2.60,Sync2pTile,33024136,26562278
34.03,31.38,2.60,AsyncTile,18147273,26562278
31.86,29.35,2.46,Async,18147273,26562278
31.75,29.18,2.51,Sync,18147273,26562278
31.24,28.48,2.72,SyncTile,18147273,26562278
30.54,27.93,2.56,Sync2p,18147273,26562278
30.67,28.07,2.55,Sync2pTile,18147273,26562278
33.99,31.41,2.53,AsyncTile,35248360,26562278
31.84,29.26,2.53,Async,35248360,26562278
31.71,29.21,2.45,Sync,35248360,26562278
31.30,28.65,2.61,SyncTile,35248360,26562278
30.75,28.17,2.52,Sync2p,35248360,26562278
31.04,28.36,2.64,Sync2pTile,35248360,26562278
33.97,31.48,2.44,AsyncTile,34698572,26562278
31.90,29.40,2.45,Async,34698572,26562278
31.88,29.37,2.46,Sync,34698572,26562278
31.18,28.53,2.60,SyncTile,34698572,26562278
30.67,28.03,2.59,Sync2p,34698572,26562278
31.11,28.39,2.67,Sync2pTile,34698572,26562278
33.95,31.31,2.58,AsyncTile,20419741,26562278
31.78,29.40,2.33,Async,20419741,26562278
31.63,29.15,2.43,Sync,20419741,26562278
31.23,28.58,2.60,SyncTile,20419741,26562278
30.51,27.75,2.71,Sync2p,20419741,26562278
30.63,27.92,2.67,Sync2pTile,20419741,26562278
33.94,31.45,2.43,AsyncTile,28934389,26562278
31.79,29.36,2.38,Async,28934389,26562278
31.61,29.21,2.35,Sync,28934389,26562278
31.19,28.44,2.69,SyncTile,28934389,26562278
30.57,27.76,2.76,Sync2p,28934389,26562278
30.67,27.98,2.65,Sync2pTile,28934389,26562278
34.00,31.57,2.38,AsyncTile,34609597,26562278
31.86,29.39,2.42,Async,34609597,26562278
31.65,29.11,2.50,Sync,34609597,26562278
31.19,28.47,2.67,SyncTile,34609597,26562278
30.48,27.95,2.49,Sync2p,34609597,26562278
30.78,28.10,2.63,Sync2pTile,34609597,26562278
34.22,31.71,2.47,AsyncTile,47748708,26562278
31.95,29.40,2.50,Async,47748708,26562278
31.75,29.26,2.44,Sync,47748708,26562278
31.31,28.55,2.72,SyncTile,47748708,26562278
30.63,27.90,2.68,Sync2p,47748708,26562278
30.71,27.96,2.70,Sync2pTile,47748708,26562278
