Real,User,Sys,Algorithm,Vertex_ID,Unvisited
7.89,5.28,2.59,AsyncTile,0,61578414
7.88,5.35,2.50,Async,0,61578414
7.91,5.35,2.54,Sync,0,61578414
7.93,5.45,2.45,SyncTile,0,61578414
7.89,5.28,2.59,Sync2p,0,61578414
7.88,5.28,2.58,Sync2pTile,0,61578414
38.88,36.24,2.62,AsyncTile,19058681,26562278
35.73,32.97,2.73,Async,19058681,26562278
36.54,33.64,2.63,Sync,19058681,26562278
35.93,32.78,2.95,SyncTile,19058681,26562278
35.21,32.30,2.88,Sync2p,19058681,26562278
35.42,32.59,2.80,Sync2pTile,19058681,26562278
8.17,5.41,2.67,AsyncTile,0,61578414
8.19,5.49,2.60,Async,0,61578414
8.13,5.41,2.62,Sync,0,61578414
8.20,5.57,2.54,SyncTile,0,61578414
8.12,5.38,2.65,Sync2p,0,61578414
8.26,5.53,2.64,Sync2pTile,0,61578414
40.43,37.40,2.99,AsyncTile,53891729,26562278
39.85,36.98,2.79,Async,53891729,26562278
40.27,36.95,2.93,Sync,53891729,26562278
39.38,35.92,3.10,SyncTile,53891729,26562278
39.05,35.75,2.93,Sync2p,53891729,26562278
38.43,35.15,2.92,Sync2pTile,53891729,26562278
38.10,35.36,2.70,AsyncTile,44835837,26562278
35.64,32.94,2.68,Async,44835837,26562278
35.43,32.82,2.59,Sync,44835837,26562278
34.85,31.87,2.95,SyncTile,44835837,26562278
34.42,31.48,2.91,Sync2p,44835837,26562278
33.68,30.85,2.80,Sync2pTile,44835837,26562278
40.54,37.55,2.78,AsyncTile,55538755,26562278
38.17,35.03,2.80,Async,55538755,26562278
37.38,34.68,2.67,Sync,55538755,26562278
36.84,33.82,3.00,SyncTile,55538755,26562278
36.25,33.34,2.88,Sync2p,55538755,26562278
36.38,33.49,2.86,Sync2pTile,55538755,26562278
40.66,37.51,2.78,AsyncTile,16622861,26562278
37.93,34.88,2.71,Async,16622861,26562278
37.89,34.79,2.76,Sync,16622861,26562278
37.07,33.73,3.01,SyncTile,16622861,26562278
36.51,33.29,2.89,Sync2p,16622861,26562278
36.61,33.43,2.86,Sync2pTile,16622861,26562278
40.35,37.41,2.92,AsyncTile,37075993,26562278
37.93,35.16,2.75,Async,37075993,26562278
37.45,34.69,2.74,Sync,37075993,26562278
36.89,33.89,2.98,SyncTile,37075993,26562278
36.20,33.33,2.84,Sync2p,37075993,26562278
36.25,33.33,2.90,Sync2pTile,37075993,26562278
40.44,37.44,2.97,AsyncTile,25305593,26562278
37.95,35.22,2.70,Async,25305593,26562278
37.49,34.70,2.77,Sync,25305593,26562278
36.80,33.85,2.93,SyncTile,25305593,26562278
36.18,33.41,2.74,Sync2p,25305593,26562278
36.54,33.53,2.92,Sync2pTile,25305593,26562278
37.26,34.37,2.88,AsyncTile,14635660,26562278
35.69,33.12,2.54,Async,14635660,26562278
35.70,33.02,2.66,Sync,14635660,26562278
35.43,32.50,2.91,SyncTile,14635660,26562278
34.27,31.36,2.89,Sync2p,14635660,26562278
34.26,31.36,2.88,Sync2pTile,14635660,26562278
37.26,34.60,2.63,AsyncTile,27956640,26562277
