Real,User,Sys,Algorithm,Iteration
41.66,5.47,4.59,Sync,1
29.39,27.78,1.59,Async,1
40.74,37.07,3.63,EdgeAsync,1
35.47,27.52,2.40,EtiledAsync,1
153.43,151.65,1.76,BlkdAsync,1
21.18,19.47,1.69,LabelProc,1
39.28,37.53,1.72,Serial,1
6.73,4.86,1.84,Sync,2
29.65,27.73,1.89,Async,2
41.17,37.49,3.66,EdgeAsync,2
36.02,28.05,2.36,EtiledAsync,2
152.76,150.98,1.75,BlkdAsync,2
21.80,20.06,1.72,LabelProc,2
38.26,36.48,1.77,Serial,2
6.69,4.85,1.82,Sync,3
29.96,28.10,1.83,Async,3
41.22,37.75,3.45,EdgeAsync,3
35.65,27.75,2.29,EtiledAsync,3
153.21,151.52,1.67,BlkdAsync,3
21.55,19.75,1.78,LabelProc,3
38.51,36.76,1.73,Serial,3
6.81,4.93,1.85,Sync,4
29.87,28.08,1.78,Async,4
41.00,37.28,3.69,EdgeAsync,4
35.45,28.06,2.33,EtiledAsync,4
153.07,151.23,1.81,BlkdAsync,4
21.44,19.70,1.72,LabelProc,4
38.21,36.35,1.84,Serial,4
6.67,5.02,1.63,Sync,5
29.75,27.97,1.75,Async,5
40.91,37.18,3.70,EdgeAsync,5
37.65,28.06,2.44,EtiledAsync,5
152.54,150.77,1.75,BlkdAsync,5
21.45,19.67,1.75,LabelProc,5
38.68,36.84,1.82,Serial,5
6.79,5.02,1.76,Sync,6
29.78,27.97,1.78,Async,6
41.35,37.67,3.64,EdgeAsync,6
37.38,27.80,2.54,EtiledAsync,6
152.69,150.91,1.76,BlkdAsync,6
21.29,19.53,1.74,LabelProc,6
38.18,36.37,1.79,Serial,6
6.78,5.04,1.71,Sync,7
29.84,28.09,1.72,Async,7
41.42,37.85,3.54,EdgeAsync,7
37.15,27.87,2.40,EtiledAsync,7
153.04,151.19,1.82,BlkdAsync,7
21.57,19.83,1.71,LabelProc,7
37.98,36.17,1.79,Serial,7
7.23,5.40,1.80,Sync,8
29.85,28.10,1.73,Async,8
40.82,37.24,3.56,EdgeAsync,8
37.18,27.79,2.58,EtiledAsync,8
