Real,User,Sys,Algorithm,Iteration
537.55,501.37,4.53,Pull-Topo,1
572.18,570.34,1.82,Pull-Residual,1
354.10,352.35,1.73,Push-Async,1
626.43,624.72,1.68,Push-Sync,1
502.54,500.81,1.72,Pull-Topo,2
570.69,568.83,1.84,Pull-Residual,2
352.04,350.23,1.78,Push-Async,2
627.31,625.52,1.74,Push-Sync,2
503.30,501.61,1.65,Pull-Topo,3
568.04,566.19,1.84,Pull-Residual,3
349.74,347.90,1.82,Push-Async,3
625.75,623.97,1.75,Push-Sync,3
503.24,501.47,1.75,Pull-Topo,4
542.06,540.31,1.72,Pull-Residual,4
349.53,347.84,1.66,Push-Async,4
627.94,626.12,1.80,Push-Sync,4
503.52,501.80,1.70,Pull-Topo,5
533.00,531.23,1.75,Pull-Residual,5
349.71,347.92,1.77,Push-Async,5
625.56,623.79,1.74,Push-Sync,5
504.19,502.39,1.78,Pull-Topo,6
556.92,555.19,1.71,Pull-Residual,6
351.23,349.49,1.72,Push-Async,6
625.80,624.07,1.71,Push-Sync,6
501.67,499.96,1.69,Pull-Topo,7
553.50,551.75,1.73,Pull-Residual,7
348.60,346.86,1.72,Push-Async,7
624.27,622.53,1.72,Push-Sync,7
503.80,501.99,1.78,Pull-Topo,8
566.98,565.09,1.86,Pull-Residual,8
352.92,351.13,1.77,Push-Async,8
624.92,623.16,1.74,Push-Sync,8
502.11,500.33,1.76,Pull-Topo,9
548.73,546.90,1.81,Pull-Residual,9
353.13,351.24,1.87,Push-Async,9
630.01,628.26,1.72,Push-Sync,9
501.16,499.38,1.76,Pull-Topo,10
566.93,565.10,1.81,Pull-Residual,10
349.81,348.05,1.74,Push-Async,10
628.94,627.20,1.72,Push-Sync,10
504.53,502.85,1.66,Pull-Topo,11
567.99,566.28,1.70,Pull-Residual,11
349.69,347.94,1.73,Push-Async,11
625.11,623.23,1.85,Push-Sync,11
503.78,502.05,1.70,Pull-Topo,12
548.66,546.75,1.89,Pull-Residual,12
350.36,348.68,1.65,Push-Async,12
626.02,624.24,1.75,Push-Sync,12
502.11,500.32,1.76,Pull-Topo,13
568.62,566.79,1.80,Pull-Residual,13
350.50,348.75,1.72,Push-Async,13
626.90,625.08,1.80,Push-Sync,13
503.16,501.36,1.78,Pull-Topo,14
567.89,566.08,1.79,Pull-Residual,14
350.82,349.14,1.66,Push-Async,14
628.99,627.27,1.70,Push-Sync,14
501.60,499.90,1.67,Pull-Topo,15
530.39,528.55,1.82,Pull-Residual,15
348.65,346.82,1.81,Push-Async,15
626.14,624.41,1.71,Push-Sync,15
503.35,501.60,1.73,Pull-Topo,16
543.48,541.62,1.84,Pull-Residual,16
350.14,348.48,1.64,Push-Async,16
625.55,623.76,1.76,Push-Sync,16
502.88,501.13,1.72,Pull-Topo,17
543.88,542.14,1.72,Pull-Residual,17
349.29,347.53,1.74,Push-Async,17
625.38,623.66,1.69,Push-Sync,17
500.45,498.59,1.84,Pull-Topo,18
552.51,550.73,1.75,Pull-Residual,18
352.81,351.00,1.79,Push-Async,18
625.79,624.04,1.73,Push-Sync,18
503.61,501.91,1.68,Pull-Topo,19
548.82,547.03,1.77,Pull-Residual,19
351.21,349.43,1.76,Push-Async,19
627.64,625.80,1.82,Push-Sync,19
502.63,500.84,1.77,Pull-Topo,20
573.08,571.26,1.80,Pull-Residual,20
349.99,348.17,1.80,Push-Async,20
626.82,625.04,1.75,Push-Sync,20
504.48,502.74,1.72,Pull-Topo,21
524.44,522.65,1.76,Pull-Residual,21
351.17,349.35,1.80,Push-Async,21
629.01,627.26,1.73,Push-Sync,21
501.94,500.16,1.76,Pull-Topo,22
552.48,550.70,1.76,Pull-Residual,22
351.78,350.02,1.73,Push-Async,22
628.82,627.15,1.64,Push-Sync,22
501.77,500.00,1.75,Pull-Topo,23
565.75,563.93,1.80,Pull-Residual,23
349.22,347.46,1.74,Push-Async,23
625.01,623.24,1.76,Push-Sync,23
503.36,501.64,1.70,Pull-Topo,24
569.48,567.59,1.87,Pull-Residual,24
349.66,347.95,1.68,Push-Async,24
626.76,624.94,1.80,Push-Sync,24
502.99,501.22,1.74,Pull-Topo,25
571.09,569.37,1.69,Pull-Residual,25
349.99,348.20,1.77,Push-Async,25
623.87,622.12,1.73,Push-Sync,25
