Ordering,Algo,Refs,Misses,Time
default,Sync,758790339.0,501048421.0,37.338284091
default,Sync,657978423.0,500633923.0,6.980589825
default,Sync,656179425.0,499338902.0,6.963561869
default,Sync,657346148.0,498925278.0,6.979769225
default,Sync,656855690.0,498021837.0,7.017806832
default,Sync,654678978.0,498426061.0,6.961283165
default,Sync,658384106.0,498477546.0,6.958253727
default,Sync,651951162.0,498216094.0,6.94927068
default,Sync,655604184.0,498329434.0,7.015913435
default,Sync,654709047.0,498352535.0,7.4384787
default,Sync,654642069.0,499266064.0,7.008555857
default,Sync,655506891.0,498264056.0,6.963591203
default,Sync,656909444.0,498123205.0,6.944345859
default,Sync,659663198.0,497990183.0,6.986006963
default,Sync,656077653.0,498338281.0,6.972184308
default,Sync,654697677.0,498605746.0,7.008476086
default,Sync,654086138.0,498446754.0,6.980483098
default,Sync,655551301.0,498779334.0,6.98755826
default,Sync,655854047.0,498663559.0,6.974776255
default,Sync,657377056.0,500372582.0,6.994580117
default,Sync,657489506.0,497840593.0,7.092886749
default,Sync,656705758.0,499098147.0,6.992200539
default,Sync,656319847.0,498917141.0,6.977217286
default,Sync,656881518.0,498904414.0,7.006713611
default,Sync,655741926.0,498963298.0,7.002042725
default,Async,7195739322.0,4862487878.0,29.23697739
default,Async,7191901766.0,4867587765.0,29.294899488
default,Async,7182343328.0,4864171969.0,29.25318558
default,Async,7200355406.0,4875013587.0,29.500725776
default,Async,7205986958.0,4868785263.0,29.658915792
default,Async,7197550517.0,4875623284.0,29.754704835
default,Async,7206736625.0,4873031895.0,29.871059608
default,Async,7197095901.0,4872872255.0,29.25955959
default,Async,7192688080.0,4865839500.0,29.18163304
default,Async,7201931904.0,4872926305.0,29.245815975
default,Async,7250526379.0,4891507167.0,30.532036361
default,Async,7222571128.0,4888591491.0,29.911336937
default,Async,7197464070.0,4877353452.0,29.415115195
default,Async,7215181396.0,4875162345.0,29.287289115
default,Async,7197240826.0,4872930803.0,29.206743291
default,Async,7203621230.0,4875747150.0,29.275899907
default,Async,7191931027.0,4874556662.0,29.26866566
default,Async,7192456594.0,4874585315.0,29.203985992
default,Async,7203440947.0,4874707309.0,29.721843834
default,Async,7218771760.0,4878804862.0,29.971672068
default,Async,7223056243.0,4892108692.0,30.356885207
default,Async,7210876443.0,4876914675.0,29.734958569
default,Async,7216891398.0,4894004639.0,29.240219782
default,Async,7253826192.0,4908940838.0,31.289262853
default,Async,7195533934.0,4869395228.0,29.506892589
default,EAsync,9138286513.0,6036352416.0,40.656972582
default,EAsync,9116814133.0,6026712335.0,40.691389594
default,EAsync,9108497457.0,6027287994.0,40.563691734
default,EAsync,9106643493.0,6023841314.0,40.911069123
default,EAsync,9107985663.0,6028424846.0,40.658988775
default,EAsync,9125865372.0,6027295216.0,40.758955256
default,EAsync,9113528736.0,6028031100.0,40.846201397
default,EAsync,9096010836.0,6018197227.0,40.600469326
default,EAsync,9105380389.0,6026211784.0,40.518149155
default,EAsync,9114073913.0,6017922021.0,40.506920746
default,EAsync,9107140368.0,6023123594.0,40.736683745
default,EAsync,9102556201.0,6024208002.0,40.464834205
default,EAsync,9112835096.0,6029841388.0,40.711435912
default,EAsync,9116930186.0,6029552408.0,40.594300306
default,EAsync,9109943247.0,6027778350.0,40.689451592
default,EAsync,9119002082.0,6030186414.0,40.541175406
default,EAsync,9115153388.0,6031423942.0,41.306674104
default,EAsync,9099880278.0,6027545438.0,40.688888247
default,EAsync,9116655968.0,6033536854.0,40.648117099
default,EAsync,9109838074.0,6031439383.0,40.692529611
default,EAsync,9116065343.0,6032771671.0,41.227856568
default,EAsync,9112573478.0,6035059328.0,40.790072429
default,EAsync,9107776777.0,6030753671.0,40.632157629
default,EAsync,9108292190.0,6029297968.0,40.719573003
default,EAsync,9098417459.0,6022398256.0,40.784347398
default,EtileAsync,7191542263.0,4863560184.0,39.890734859
default,EtileAsync,7207845189.0,4871324094.0,40.160655571
default,EtileAsync,7212304761.0,4869121677.0,39.876797552
default,EtileAsync,7202596142.0,4863453821.0,40.06737321
default,EtileAsync,7194916612.0,4863471021.0,40.152648035
default,EtileAsync,7199331208.0,4867271936.0,39.932250395
default,EtileAsync,7199100296.0,4861420429.0,42.445954991
default,EtileAsync,7217899882.0,4868293006.0,42.804862024
default,EtileAsync,7205610255.0,4865251586.0,42.842387552
default,EtileAsync,7219066386.0,4865779174.0,42.703323826
