Real,User,Sys,Algorithm,Iteration
1.89,1.08,0.28,Pull-Topo,1
1.63,1.43,0.18,Pull-Residual,1
1.95,1.74,0.18,Push-Async,1
2.25,2.05,0.18,Push-Sync,1
1.33,1.15,0.16,Pull-Topo,2
1.67,1.47,0.18,Pull-Residual,2
1.93,1.74,0.17,Push-Async,2
2.24,2.05,0.17,Push-Sync,2
1.32,1.11,0.18,Pull-Topo,3
1.64,1.42,0.19,Pull-Residual,3
1.95,1.75,0.18,Push-Async,3
2.30,2.11,0.16,Push-Sync,3
1.30,1.13,0.15,Pull-Topo,4
1.60,1.41,0.16,Pull-Residual,4
1.98,1.76,0.19,Push-Async,4
2.27,2.07,0.18,Push-Sync,4
1.27,1.07,0.18,Pull-Topo,5
1.61,1.40,0.18,Pull-Residual,5
1.96,1.74,0.19,Push-Async,5
2.28,2.09,0.18,Push-Sync,5
1.28,1.10,0.16,Pull-Topo,6
1.59,1.38,0.18,Pull-Residual,6
1.93,1.74,0.16,Push-Async,6
2.25,2.05,0.18,Push-Sync,6
1.31,1.10,0.17,Pull-Topo,7
1.62,1.42,0.18,Pull-Residual,7
1.92,1.74,0.16,Push-Async,7
2.26,2.05,0.18,Push-Sync,7
1.32,1.12,0.17,Pull-Topo,8
1.51,1.32,0.18,Pull-Residual,8
1.97,1.78,0.17,Push-Async,8
2.27,2.07,0.18,Push-Sync,8
1.30,1.10,0.18,Pull-Topo,9
1.66,1.45,0.19,Pull-Residual,9
1.95,1.76,0.17,Push-Async,9
2.28,2.06,0.19,Push-Sync,9
1.33,1.11,0.19,Pull-Topo,10
1.68,1.49,0.17,Pull-Residual,10
1.95,1.73,0.20,Push-Async,10
2.40,2.22,0.16,Push-Sync,10
1.38,1.18,0.17,Pull-Topo,11
1.63,1.43,0.18,Pull-Residual,11
1.94,1.74,0.18,Push-Async,11
2.26,2.07,0.17,Push-Sync,11
1.34,1.16,0.15,Pull-Topo,12
1.68,1.48,0.17,Pull-Residual,12
1.97,1.75,0.20,Push-Async,12
2.25,2.05,0.18,Push-Sync,12
1.34,1.14,0.18,Pull-Topo,13
1.65,1.45,0.18,Pull-Residual,13
1.94,1.74,0.17,Push-Async,13
2.27,2.08,0.17,Push-Sync,13
1.33,1.13,0.18,Pull-Topo,14
1.65,1.43,0.20,Pull-Residual,14
1.94,1.74,0.18,Push-Async,14
2.24,2.03,0.19,Push-Sync,14
1.32,1.15,0.15,Pull-Topo,15
1.66,1.44,0.20,Pull-Residual,15
1.93,1.74,0.16,Push-Async,15
2.25,2.06,0.17,Push-Sync,15
1.30,1.08,0.20,Pull-Topo,16
1.62,1.40,0.19,Pull-Residual,16
1.95,1.74,0.19,Push-Async,16
2.27,2.09,0.16,Push-Sync,16
1.31,1.14,0.14,Pull-Topo,17
1.66,1.48,0.17,Pull-Residual,17
1.92,1.70,0.20,Push-Async,17
2.26,2.05,0.19,Push-Sync,17
1.30,1.10,0.18,Pull-Topo,18
1.65,1.43,0.19,Pull-Residual,18
1.93,1.74,0.17,Push-Async,18
2.25,2.09,0.15,Push-Sync,18
1.30,1.11,0.17,Pull-Topo,19
1.59,1.38,0.19,Pull-Residual,19
1.92,1.70,0.20,Push-Async,19
2.28,2.07,0.18,Push-Sync,19
1.32,1.13,0.17,Pull-Topo,20
1.60,1.39,0.19,Pull-Residual,20
1.94,1.76,0.16,Push-Async,20
2.25,2.05,0.17,Push-Sync,20
1.30,1.11,0.16,Pull-Topo,21
1.61,1.40,0.19,Pull-Residual,21
1.93,1.74,0.17,Push-Async,21
2.26,2.05,0.18,Push-Sync,21
1.31,1.12,0.17,Pull-Topo,22
1.61,1.41,0.17,Pull-Residual,22
1.92,1.72,0.18,Push-Async,22
2.26,2.06,0.17,Push-Sync,22
1.32,1.12,0.17,Pull-Topo,23
1.62,1.41,0.19,Pull-Residual,23
1.95,1.76,0.18,Push-Async,23
2.28,2.10,0.16,Push-Sync,23
1.31,1.11,0.18,Pull-Topo,24
1.68,1.45,0.20,Pull-Residual,24
1.94,1.74,0.17,Push-Async,24
2.29,2.10,0.16,Push-Sync,24
1.32,1.12,0.17,Pull-Topo,25
1.63,1.45,0.16,Pull-Residual,25
1.93,1.72,0.19,Push-Async,25
2.28,2.08,0.18,Push-Sync,25
