Real,User,Sys,Algorithm,Iteration
0.32,0.16,0.15,Sync,1
0.31,0.16,0.15,Async,1
0.31,0.17,0.15,EdgeAsync,1
0.33,0.17,0.15,EtiledAsync,1
0.32,0.19,0.12,BlkdAsync,1
0.52,0.37,0.14,LabelProc,1
0.77,0.61,0.16,Serial,1
0.30,0.14,0.15,Sync,2
0.32,0.17,0.14,Async,2
0.30,0.16,0.13,EdgeAsync,2
0.32,0.16,0.15,EtiledAsync,2
0.31,0.18,0.13,BlkdAsync,2
0.50,0.37,0.13,LabelProc,2
0.78,0.62,0.15,Serial,2
0.30,0.13,0.16,Sync,3
0.32,0.17,0.14,Async,3
0.30,0.16,0.14,EdgeAsync,3
0.33,0.18,0.14,EtiledAsync,3
0.32,0.15,0.16,BlkdAsync,3
0.51,0.37,0.14,LabelProc,3
0.76,0.62,0.14,Serial,3
0.31,0.16,0.14,Sync,4
0.30,0.16,0.14,Async,4
0.31,0.18,0.13,EdgeAsync,4
0.32,0.19,0.13,EtiledAsync,4
0.31,0.15,0.16,BlkdAsync,4
0.51,0.39,0.11,LabelProc,4
0.76,0.61,0.15,Serial,4
0.31,0.14,0.16,Sync,5
0.31,0.17,0.14,Async,5
0.30,0.16,0.14,EdgeAsync,5
0.33,0.18,0.15,EtiledAsync,5
0.31,0.16,0.14,BlkdAsync,5
0.50,0.35,0.14,LabelProc,5
0.79,0.66,0.13,Serial,5
0.30,0.16,0.13,Sync,6
0.30,0.15,0.14,Async,6
0.31,0.20,0.11,EdgeAsync,6
0.32,0.18,0.14,EtiledAsync,6
0.31,0.18,0.13,BlkdAsync,6
0.50,0.34,0.15,LabelProc,6
0.79,0.64,0.14,Serial,6
0.30,0.16,0.14,Sync,7
0.32,0.20,0.12,Async,7
0.31,0.15,0.15,EdgeAsync,7
0.32,0.20,0.11,EtiledAsync,7
0.31,0.17,0.14,BlkdAsync,7
0.51,0.35,0.15,LabelProc,7
0.76,0.64,0.12,Serial,7
0.31,0.18,0.12,Sync,8
0.31,0.18,0.13,Async,8
0.29,0.16,0.13,EdgeAsync,8
0.34,0.19,0.14,EtiledAsync,8
0.31,0.17,0.14,BlkdAsync,8
0.51,0.35,0.16,LabelProc,8
0.76,0.63,0.13,Serial,8
0.31,0.16,0.14,Sync,9
0.31,0.18,0.13,Async,9
0.31,0.16,0.14,EdgeAsync,9
0.34,0.20,0.14,EtiledAsync,9
0.30,0.16,0.13,BlkdAsync,9
0.51,0.38,0.12,LabelProc,9
0.76,0.60,0.16,Serial,9
0.31,0.16,0.14,Sync,10
0.30,0.14,0.16,Async,10
0.31,0.14,0.16,EdgeAsync,10
0.34,0.20,0.14,EtiledAsync,10
0.31,0.17,0.13,BlkdAsync,10
0.50,0.33,0.16,LabelProc,10
0.77,0.62,0.15,Serial,10
0.30,0.15,0.15,Sync,11
0.30,0.15,0.15,Async,11
0.30,0.17,0.13,EdgeAsync,11
0.33,0.19,0.14,EtiledAsync,11
0.33,0.16,0.17,BlkdAsync,11
0.49,0.36,0.12,LabelProc,11
0.77,0.61,0.15,Serial,11
0.32,0.17,0.14,Sync,12
0.31,0.15,0.16,Async,12
0.31,0.15,0.15,EdgeAsync,12
0.33,0.19,0.14,EtiledAsync,12
0.30,0.16,0.13,BlkdAsync,12
0.50,0.37,0.13,LabelProc,12
0.76,0.62,0.13,Serial,12
0.30,0.17,0.12,Sync,13
0.31,0.18,0.13,Async,13
0.31,0.18,0.13,EdgeAsync,13
0.33,0.19,0.14,EtiledAsync,13
0.30,0.15,0.14,BlkdAsync,13
0.51,0.39,0.12,LabelProc,13
0.78,0.63,0.14,Serial,13
0.30,0.15,0.15,Sync,14
0.32,0.18,0.13,Async,14
0.31,0.14,0.16,EdgeAsync,14
0.34,0.19,0.14,EtiledAsync,14
0.30,0.15,0.15,BlkdAsync,14
0.52,0.35,0.16,LabelProc,14
0.78,0.64,0.14,Serial,14
0.30,0.16,0.13,Sync,15
0.30,0.14,0.15,Async,15
0.30,0.15,0.15,EdgeAsync,15
0.33,0.18,0.15,EtiledAsync,15
0.31,0.17,0.13,BlkdAsync,15
0.51,0.37,0.14,LabelProc,15
0.76,0.63,0.12,Serial,15
0.30,0.15,0.15,Sync,16
0.30,0.13,0.16,Async,16
0.30,0.16,0.13,EdgeAsync,16
0.33,0.20,0.12,EtiledAsync,16
0.31,0.16,0.15,BlkdAsync,16
0.49,0.35,0.14,LabelProc,16
0.78,0.65,0.13,Serial,16
0.30,0.14,0.16,Sync,17
0.31,0.16,0.15,Async,17
0.30,0.12,0.17,EdgeAsync,17
0.33,0.21,0.12,EtiledAsync,17
0.30,0.14,0.16,BlkdAsync,17
0.50,0.36,0.13,LabelProc,17
0.76,0.61,0.15,Serial,17
0.29,0.15,0.13,Sync,18
0.30,0.16,0.14,Async,18
0.31,0.18,0.13,EdgeAsync,18
0.33,0.19,0.14,EtiledAsync,18
0.33,0.17,0.15,BlkdAsync,18
0.51,0.36,0.14,LabelProc,18
0.76,0.64,0.12,Serial,18
0.30,0.14,0.15,Sync,19
0.30,0.16,0.13,Async,19
0.30,0.15,0.14,EdgeAsync,19
0.33,0.16,0.16,EtiledAsync,19
0.31,0.19,0.12,BlkdAsync,19
0.51,0.36,0.15,LabelProc,19
0.75,0.60,0.14,Serial,19
0.31,0.18,0.13,Sync,20
