Real,User,Sys,Algorithm,Vertex_ID,Unvisited
0.45,0.22,0.20,AsyncTile,0,6009554
0.39,0.21,0.16,Async,0,6009554
0.39,0.23,0.16,Sync,0,6009554
0.39,0.23,0.15,SyncTile,0,6009554
0.39,0.22,0.16,Sync2p,0,6009554
0.39,0.22,0.16,Sync2pTile,0,6009554
0.40,0.23,0.16,AsyncTile,5795784,5883257
0.40,0.24,0.15,Async,5795784,5883257
0.41,0.25,0.16,Sync,5795784,5883257
0.39,0.23,0.15,SyncTile,5795784,5883257
0.39,0.24,0.15,Sync2p,5795784,5883257
0.41,0.24,0.15,Sync2pTile,5795784,5883257
0.39,0.25,0.13,AsyncTile,0,6009554
0.38,0.25,0.13,Async,0,6009554
0.38,0.21,0.16,Sync,0,6009554
0.39,0.23,0.16,SyncTile,0,6009554
0.38,0.22,0.15,Sync2p,0,6009554
0.38,0.23,0.15,Sync2pTile,0,6009554
0.38,0.22,0.15,AsyncTile,4719742,6009394
0.39,0.21,0.17,Async,4719742,6009394
0.38,0.22,0.16,Sync,4719742,6009394
0.39,0.22,0.17,SyncTile,4719742,6009394
0.38,0.23,0.15,Sync2p,4719742,6009394
0.38,0.21,0.16,Sync2pTile,4719742,6009394
0.38,0.21,0.15,AsyncTile,4881844,6009384
0.38,0.21,0.16,Async,4881844,6009384
0.37,0.24,0.13,Sync,4881844,6009384
0.38,0.20,0.17,SyncTile,4881844,6009384
0.39,0.24,0.14,Sync2p,4881844,6009384
0.39,0.22,0.17,Sync2pTile,4881844,6009384
0.38,0.21,0.17,AsyncTile,4557425,6009503
0.39,0.23,0.15,Async,4557425,6009503
0.39,0.20,0.18,Sync,4557425,6009503
0.39,0.21,0.17,SyncTile,4557425,6009503
0.39,0.20,0.18,Sync2p,4557425,6009503
0.39,0.21,0.17,Sync2pTile,4557425,6009503
0.39,0.23,0.15,AsyncTile,4033101,6009549
0.38,0.17,0.20,Async,4033101,6009549
0.39,0.22,0.17,Sync,4033101,6009549
0.38,0.21,0.16,SyncTile,4033101,6009549
0.38,0.23,0.15,Sync2p,4033101,6009549
0.39,0.24,0.14,Sync2pTile,4033101,6009549
0.38,0.20,0.17,AsyncTile,3913567,6009550
0.39,0.21,0.17,Async,3913567,6009550
0.39,0.21,0.17,Sync,3913567,6009550
0.39,0.22,0.16,SyncTile,3913567,6009550
0.40,0.24,0.15,Sync2p,3913567,6009550
