Real,User,Sys,Algorithm,Iteration
0.33,0.15,0.17,Sync,1
0.44,0.29,0.15,Async,1
0.44,0.29,0.14,EdgeAsync,1
0.48,0.34,0.14,EtiledAsync,1
0.53,0.38,0.14,BlkdAsync,1
0.76,0.61,0.14,LabelProc,1
0.96,0.80,0.15,Serial,1
0.31,0.16,0.14,Sync,2
0.44,0.27,0.17,Async,2
0.45,0.31,0.13,EdgeAsync,2
0.47,0.33,0.14,EtiledAsync,2
0.52,0.37,0.14,BlkdAsync,2
0.74,0.57,0.17,LabelProc,2
0.95,0.79,0.15,Serial,2
0.32,0.15,0.17,Sync,3
0.45,0.28,0.16,Async,3
0.45,0.28,0.18,EdgeAsync,3
0.48,0.32,0.16,EtiledAsync,3
0.52,0.34,0.18,BlkdAsync,3
0.77,0.60,0.16,LabelProc,3
0.95,0.79,0.16,Serial,3
0.32,0.15,0.16,Sync,4
0.45,0.31,0.14,Async,4
0.45,0.30,0.14,EdgeAsync,4
0.48,0.32,0.16,EtiledAsync,4
0.51,0.34,0.17,BlkdAsync,4
0.77,0.60,0.16,LabelProc,4
0.95,0.82,0.13,Serial,4
0.31,0.15,0.16,Sync,5
0.45,0.29,0.15,Async,5
0.45,0.28,0.17,EdgeAsync,5
0.48,0.31,0.17,EtiledAsync,5
0.50,0.34,0.16,BlkdAsync,5
0.76,0.61,0.15,LabelProc,5
0.97,0.83,0.14,Serial,5
0.33,0.18,0.14,Sync,6
0.44,0.27,0.17,Async,6
0.44,0.28,0.16,EdgeAsync,6
0.46,0.30,0.16,EtiledAsync,6
0.50,0.33,0.16,BlkdAsync,6
0.76,0.59,0.16,LabelProc,6
0.98,0.84,0.13,Serial,6
0.33,0.15,0.17,Sync,7
0.46,0.31,0.15,Async,7
0.44,0.29,0.15,EdgeAsync,7
0.48,0.32,0.15,EtiledAsync,7
0.51,0.37,0.14,BlkdAsync,7
0.75,0.60,0.14,LabelProc,7
0.95,0.79,0.16,Serial,7
0.33,0.17,0.15,Sync,8
0.44,0.27,0.17,Async,8
0.46,0.30,0.16,EdgeAsync,8
0.48,0.33,0.15,EtiledAsync,8
0.50,0.34,0.16,BlkdAsync,8
0.75,0.59,0.15,LabelProc,8
0.93,0.77,0.15,Serial,8
0.33,0.16,0.16,Sync,9
0.44,0.29,0.15,Async,9
0.46,0.29,0.16,EdgeAsync,9
0.48,0.31,0.16,EtiledAsync,9
0.51,0.34,0.17,BlkdAsync,9
0.77,0.61,0.16,LabelProc,9
0.94,0.78,0.15,Serial,9
0.31,0.16,0.15,Sync,10
0.44,0.28,0.15,Async,10
0.46,0.32,0.14,EdgeAsync,10
0.47,0.33,0.14,EtiledAsync,10
0.51,0.35,0.15,BlkdAsync,10
0.76,0.60,0.16,LabelProc,10
0.93,0.76,0.16,Serial,10
0.31,0.15,0.15,Sync,11
0.46,0.30,0.16,Async,11
0.46,0.31,0.15,EdgeAsync,11
0.50,0.34,0.16,EtiledAsync,11
0.52,0.36,0.15,BlkdAsync,11
0.76,0.57,0.18,LabelProc,11
0.94,0.77,0.16,Serial,11
0.33,0.16,0.16,Sync,12
0.46,0.31,0.14,Async,12
0.44,0.26,0.18,EdgeAsync,12
0.48,0.30,0.17,EtiledAsync,12
0.51,0.37,0.14,BlkdAsync,12
0.77,0.59,0.18,LabelProc,12
0.97,0.80,0.16,Serial,12
0.33,0.19,0.13,Sync,13
0.45,0.28,0.17,Async,13
0.45,0.29,0.15,EdgeAsync,13
0.47,0.31,0.16,EtiledAsync,13
0.52,0.37,0.15,BlkdAsync,13
0.78,0.62,0.15,LabelProc,13
0.98,0.81,0.17,Serial,13
0.33,0.13,0.19,Sync,14
0.44,0.28,0.15,Async,14
0.45,0.30,0.14,EdgeAsync,14
0.48,0.32,0.16,EtiledAsync,14
0.51,0.33,0.18,BlkdAsync,14
0.76,0.60,0.16,LabelProc,14
0.93,0.77,0.16,Serial,14
0.32,0.14,0.18,Sync,15
0.45,0.30,0.14,Async,15
0.46,0.30,0.15,EdgeAsync,15
0.47,0.32,0.14,EtiledAsync,15
0.51,0.37,0.13,BlkdAsync,15
0.77,0.61,0.15,LabelProc,15
0.95,0.82,0.13,Serial,15
0.32,0.16,0.16,Sync,16
0.43,0.28,0.15,Async,16
0.44,0.29,0.15,EdgeAsync,16
0.47,0.28,0.18,EtiledAsync,16
0.50,0.34,0.15,BlkdAsync,16
0.77,0.61,0.16,LabelProc,16
0.94,0.77,0.16,Serial,16
0.31,0.15,0.15,Sync,17
0.43,0.27,0.16,Async,17
0.44,0.28,0.16,EdgeAsync,17
0.48,0.33,0.15,EtiledAsync,17
0.50,0.35,0.15,BlkdAsync,17
0.75,0.60,0.15,LabelProc,17
0.96,0.78,0.17,Serial,17
0.32,0.15,0.17,Sync,18
0.44,0.28,0.16,Async,18
0.46,0.29,0.16,EdgeAsync,18
0.49,0.34,0.15,EtiledAsync,18
0.52,0.34,0.18,BlkdAsync,18
0.77,0.62,0.14,LabelProc,18
0.96,0.79,0.16,Serial,18
0.33,0.18,0.15,Sync,19
0.45,0.29,0.15,Async,19
0.45,0.28,0.16,EdgeAsync,19
0.48,0.34,0.14,EtiledAsync,19
0.51,0.36,0.15,BlkdAsync,19
0.76,0.61,0.15,LabelProc,19
0.98,0.81,0.16,Serial,19
0.32,0.19,0.13,Sync,20
0.46,0.28,0.17,Async,20
0.45,0.30,0.15,EdgeAsync,20
0.48,0.32,0.15,EtiledAsync,20
0.51,0.34,0.16,BlkdAsync,20
0.75,0.60,0.16,LabelProc,20
0.92,0.78,0.14,Serial,20
0.32,0.16,0.16,Sync,21
0.46,0.28,0.18,Async,21
0.44,0.30,0.14,EdgeAsync,21
0.49,0.32,0.17,EtiledAsync,21
0.53,0.36,0.16,BlkdAsync,21
0.75,0.59,0.15,LabelProc,21
0.92,0.73,0.19,Serial,21
0.32,0.15,0.16,Sync,22
0.43,0.28,0.15,Async,22
0.44,0.30,0.14,EdgeAsync,22
0.47,0.30,0.16,EtiledAsync,22
0.50,0.32,0.17,BlkdAsync,22
0.75,0.59,0.16,LabelProc,22
0.93,0.77,0.16,Serial,22
0.32,0.14,0.17,Sync,23
0.44,0.28,0.16,Async,23
0.44,0.26,0.17,EdgeAsync,23
0.47,0.28,0.18,EtiledAsync,23
0.50,0.33,0.17,BlkdAsync,23
0.77,0.60,0.16,LabelProc,23
0.93,0.77,0.15,Serial,23
0.33,0.17,0.16,Sync,24
0.45,0.30,0.15,Async,24
0.46,0.30,0.16,EdgeAsync,24
0.47,0.31,0.16,EtiledAsync,24
0.51,0.35,0.16,BlkdAsync,24
0.76,0.61,0.14,LabelProc,24
0.93,0.75,0.18,Serial,24
0.31,0.16,0.14,Sync,25
0.43,0.26,0.17,Async,25
0.45,0.28,0.16,EdgeAsync,25
0.48,0.32,0.16,EtiledAsync,25
0.50,0.33,0.17,BlkdAsync,25
0.76,0.60,0.16,LabelProc,25
0.93,0.77,0.16,Serial,25
