Real,User,Sys,Algorithm,Iteration
1.72,1.04,0.19,Pull-Topo,1
1.53,1.32,0.18,Pull-Residual,1
1.68,1.50,0.15,Push-Async,1
1.86,1.68,0.16,Push-Sync,1
1.16,0.99,0.14,Pull-Topo,2
1.55,1.35,0.17,Pull-Residual,2
1.70,1.51,0.17,Push-Async,2
1.85,1.69,0.14,Push-Sync,2
1.14,0.94,0.18,Pull-Topo,3
1.47,1.27,0.17,Pull-Residual,3
1.67,1.51,0.14,Push-Async,3
1.85,1.69,0.14,Push-Sync,3
1.14,0.95,0.17,Pull-Topo,4
1.44,1.30,0.14,Pull-Residual,4
1.67,1.51,0.14,Push-Async,4
1.89,1.72,0.15,Push-Sync,4
1.20,1.02,0.15,Pull-Topo,5
1.49,1.32,0.16,Pull-Residual,5
1.69,1.50,0.17,Push-Async,5
1.87,1.69,0.15,Push-Sync,5
1.14,0.95,0.17,Pull-Topo,6
1.47,1.27,0.18,Pull-Residual,6
1.69,1.54,0.12,Push-Async,6
1.89,1.71,0.16,Push-Sync,6
1.17,0.99,0.15,Pull-Topo,7
1.49,1.30,0.17,Pull-Residual,7
1.65,1.48,0.15,Push-Async,7
1.85,1.66,0.16,Push-Sync,7
1.13,0.95,0.15,Pull-Topo,8
1.45,1.30,0.15,Pull-Residual,8
1.65,1.49,0.14,Push-Async,8
1.86,1.67,0.16,Push-Sync,8
1.14,0.95,0.17,Pull-Topo,9
1.51,1.34,0.16,Pull-Residual,9
1.70,1.53,0.15,Push-Async,9
1.88,1.70,0.16,Push-Sync,9
1.14,0.96,0.16,Pull-Topo,10
1.46,1.30,0.16,Pull-Residual,10
1.65,1.49,0.15,Push-Async,10
1.89,1.72,0.14,Push-Sync,10
1.15,0.99,0.14,Pull-Topo,11
1.54,1.36,0.16,Pull-Residual,11
1.65,1.46,0.18,Push-Async,11
1.89,1.69,0.18,Push-Sync,11
1.19,1.01,0.15,Pull-Topo,12
1.51,1.33,0.16,Pull-Residual,12
1.68,1.50,0.16,Push-Async,12
1.87,1.68,0.16,Push-Sync,12
1.14,0.96,0.16,Pull-Topo,13
1.49,1.31,0.15,Pull-Residual,13
1.67,1.49,0.15,Push-Async,13
1.87,1.68,0.16,Push-Sync,13
1.15,1.00,0.12,Pull-Topo,14
1.53,1.35,0.15,Pull-Residual,14
1.68,1.48,0.17,Push-Async,14
1.90,1.73,0.14,Push-Sync,14
1.16,0.99,0.14,Pull-Topo,15
1.52,1.33,0.18,Pull-Residual,15
1.66,1.44,0.19,Push-Async,15
1.87,1.71,0.14,Push-Sync,15
1.14,0.94,0.18,Pull-Topo,16
1.50,1.36,0.14,Pull-Residual,16
1.70,1.52,0.15,Push-Async,16
1.88,1.71,0.15,Push-Sync,16
1.17,1.01,0.14,Pull-Topo,17
1.52,1.35,0.15,Pull-Residual,17
1.64,1.47,0.15,Push-Async,17
1.86,1.67,0.18,Push-Sync,17
1.14,0.97,0.15,Pull-Topo,18
1.49,1.31,0.16,Pull-Residual,18
1.67,1.48,0.16,Push-Async,18
1.87,1.70,0.15,Push-Sync,18
1.16,0.98,0.15,Pull-Topo,19
1.53,1.35,0.16,Pull-Residual,19
1.69,1.53,0.14,Push-Async,19
1.90,1.72,0.15,Push-Sync,19
1.18,1.00,0.15,Pull-Topo,20
1.52,1.35,0.16,Pull-Residual,20
1.70,1.52,0.16,Push-Async,20
1.89,1.71,0.15,Push-Sync,20
1.15,0.97,0.15,Pull-Topo,21
1.53,1.35,0.16,Pull-Residual,21
1.71,1.53,0.16,Push-Async,21
1.90,1.73,0.15,Push-Sync,21
1.15,0.96,0.17,Pull-Topo,22
1.50,1.31,0.16,Pull-Residual,22
1.69,1.50,0.17,Push-Async,22
1.88,1.69,0.17,Push-Sync,22
1.18,1.04,0.12,Pull-Topo,23
1.54,1.37,0.14,Pull-Residual,23
1.65,1.46,0.16,Push-Async,23
1.89,1.70,0.16,Push-Sync,23
1.15,0.97,0.16,Pull-Topo,24
1.51,1.33,0.16,Pull-Residual,24
1.67,1.48,0.16,Push-Async,24
1.87,1.70,0.14,Push-Sync,24
1.14,0.97,0.15,Pull-Topo,25
1.45,1.25,0.19,Pull-Residual,25
1.66,1.46,0.18,Push-Async,25
1.87,1.71,0.15,Push-Sync,25
