Real,User,Sys,Algorithm,Dataset,Iteration,Unvisited
0.65,0.44,0.20,topoTile,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,18,5883257
0.53,0.29,0.23,deltaTile,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,19,5883257
0.53,0.32,0.21,deltaStep,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,19,5883257
0.53,0.34,0.18,serDeltaTile,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,19,5883257
0.53,0.31,0.22,serDelta,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,19,5883257
0.54,0.34,0.20,dijkstraTile,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,19,5883257
0.54,0.33,0.21,dijkstra,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,19,5883257
0.64,0.44,0.19,topo,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,19,5883257
0.64,0.43,0.20,topoTile,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,19,5883257
0.52,0.30,0.22,deltaTile,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,20,5883257
0.52,0.31,0.21,deltaStep,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,20,5883257
0.53,0.34,0.19,serDeltaTile,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,20,5883257
0.53,0.34,0.18,serDelta,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,20,5883257
0.53,0.32,0.21,dijkstraTile,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,20,5883257
0.54,0.34,0.19,dijkstra,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,20,5883257
0.65,0.44,0.20,topo,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,20,5883257
0.64,0.45,0.19,topoTile,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,20,5883257
0.52,0.31,0.21,deltaTile,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,21,5883257
0.53,0.34,0.19,deltaStep,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,21,5883257
0.52,0.31,0.21,serDeltaTile,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,21,5883257
0.53,0.33,0.20,serDelta,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,21,5883257
0.54,0.35,0.19,dijkstraTile,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,21,5883257
0.54,0.32,0.21,dijkstra,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,21,5883257
0.64,0.41,0.22,topo,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,21,5883257
0.64,0.44,0.19,topoTile,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,21,5883257
0.52,0.30,0.21,deltaTile,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,22,5883257
0.52,0.35,0.17,deltaStep,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,22,5883257
0.54,0.32,0.21,serDeltaTile,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,22,5883257
0.52,0.33,0.19,serDelta,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,22,5883257
0.54,0.34,0.19,dijkstraTile,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,22,5883257
0.54,0.34,0.20,dijkstra,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,22,5883257
0.64,0.41,0.23,topo,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,22,5883257
0.63,0.43,0.20,topoTile,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,22,5883257
0.53,0.32,0.20,deltaTile,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,23,5883257
0.53,0.35,0.17,deltaStep,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,23,5883257
0.55,0.36,0.19,serDeltaTile,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,23,5883257
0.54,0.35,0.18,serDelta,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,23,5883257
0.54,0.31,0.22,dijkstraTile,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,23,5883257
0.54,0.32,0.22,dijkstra,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,23,5883257
0.65,0.45,0.20,topo,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,23,5883257
0.64,0.43,0.21,topoTile,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,23,5883257
0.53,0.32,0.20,deltaTile,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,24,5883257
0.52,0.32,0.19,deltaStep,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,24,5883257
0.53,0.35,0.18,serDeltaTile,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,24,5883257
0.53,0.31,0.21,serDelta,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,24,5883257
0.54,0.34,0.19,dijkstraTile,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,24,5883257
0.55,0.36,0.18,dijkstra,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,24,5883257
0.64,0.46,0.18,topo,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,24,5883257
0.65,0.45,0.19,topoTile,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,24,5883257
0.53,0.33,0.19,deltaTile,../../datasets/cit-patents/cit-Patents-default-weighted-1.gr,25,5883257
