Real,User,Sys,Algorithm,Iteration
2.62,18.28,0.40,Sync,1
3.06,20.50,0.29,Sync,2
2.65,18.38,0.42,Sync,3
2.98,20.18,0.36,Sync,4
3.15,21.78,0.37,Sync,5
3.21,22.39,0.38,Sync,6
2.76,18.04,0.38,Sync,7
2.99,21.81,0.44,Sync,8
2.65,18.39,0.39,Sync,9
2.99,21.86,0.33,Sync,10
2.94,19.36,0.40,Sync,11
2.98,20.15,0.31,Sync,12
2.80,20.08,0.26,Sync,13
2.68,18.94,0.36,Sync,14
3.00,22.08,0.40,Sync,15
2.59,18.00,0.31,Sync,16
3.02,20.56,0.43,Sync,17
2.92,21.36,0.44,Sync,18
3.05,20.77,0.36,Sync,19
2.96,21.87,0.35,Sync,20
2.79,19.76,0.49,Sync,21
3.09,20.72,0.35,Sync,22
2.82,20.18,0.34,Sync,23
2.83,20.45,0.36,Sync,24
2.91,19.64,0.39,Sync,25
