Ordering,Algo,Refs,Misses,Time
default,Connected,6066090276.0,1476692938.0,4.14227942
default,Connected,6059036788.0,1460487926.0,4.18348591
default,Connected,6060458164.0,1473973778.0,4.065594746
default,Connected,6357609790.0,1469350443.0,4.572061943
default,Connected,6024837846.0,1469704686.0,4.041452709
default,Connected,6086627439.0,1460318333.0,4.132902167
default,Connected,6471492150.0,1471257845.0,4.664857271
default,Connected,6027787482.0,1472218913.0,4.133900613
default,Connected,6336750259.0,1481919766.0,4.639222711
default,Connected,6045135007.0,1465690639.0,4.093939862
default,Connected,6391255815.0,1468407047.0,4.587960112
default,Connected,6048756551.0,1472624304.0,4.098638105
default,Connected,6043237747.0,1458347304.0,4.098414043
default,Connected,6360143150.0,1477673543.0,4.581877889
default,Connected,6048772082.0,1457487346.0,4.071711006
default,Connected,6115663151.0,1476668130.0,4.237850992
default,Connected,6063495923.0,1490872056.0,4.164278448
default,Connected,6316383935.0,1479660856.0,4.577782941
default,Connected,6078653793.0,1473519686.0,4.106862484
default,Connected,6305881587.0,1482227091.0,4.593589154
default,Connected,6045754671.0,1457247670.0,4.067055982
default,Connected,6055486143.0,1468097055.0,4.140974313
default,Connected,6336652975.0,1476843604.0,4.556943218
default,Connected,6081469769.0,1451018314.0,4.04756504
default,Connected,6342898108.0,1474003505.0,4.655424221
degree,Connected,6155767674.0,998974873.0,4.07380639
degree,Connected,6109330273.0,1012991071.0,3.948527017
degree,Connected,5853475320.0,1005900103.0,3.413493509
degree,Connected,6206038751.0,1008215968.0,4.160137271
degree,Connected,5775150371.0,1001792020.0,3.383473175
degree,Connected,6104823846.0,1005285124.0,3.930769708
degree,Connected,5795781663.0,1008056695.0,3.389051764
degree,Connected,5799125402.0,997670106.0,3.374950735
degree,Connected,6100059753.0,1001929624.0,3.934352277
degree,Connected,5820486501.0,1002040975.0,3.391074513
degree,Connected,6150928132.0,1002702530.0,4.000323734
degree,Connected,6100040049.0,1023958224.0,4.150039392
degree,Connected,5812978392.0,1008455039.0,3.390550208
degree,Connected,5817473361.0,1004983680.0,3.407868496
degree,Connected,5801937805.0,1000443755.0,3.398943763
degree,Connected,6158080891.0,1002058157.0,3.932750775
degree,Connected,6126664592.0,998241945.0,3.863517169
degree,Connected,5816751310.0,994761554.0,3.350369836
degree,Connected,5823288468.0,1020006872.0,3.473631138
degree,Connected,6122137179.0,1016643740.0,4.025916662
degree,Connected,5789074041.0,994110644.0,3.336059685
degree,Connected,6197089476.0,996436435.0,4.023860232
degree,Connected,6087870877.0,994329509.0,3.836838065
degree,Connected,6090427452.0,1006238051.0,3.915359399
degree,Connected,5803275730.0,1005448089.0,3.385999401
revdegree,Connected,4433290925.0,795204054.0,2.851733545
revdegree,Connected,4479737798.0,793573537.0,2.932833554
revdegree,Connected,4457596946.0,784391142.0,2.870581588
revdegree,Connected,4469106641.0,785271419.0,2.85258324
revdegree,Connected,4447096584.0,798362118.0,2.90938514
revdegree,Connected,4463443897.0,802658775.0,2.956486595
revdegree,Connected,4722609873.0,793664826.0,3.346151893
revdegree,Connected,4454442401.0,788749071.0,2.870921442
revdegree,Connected,4761112970.0,799010669.0,3.369068054
revdegree,Connected,4749467249.0,793031074.0,3.383807118
revdegree,Connected,4810803325.0,789442365.0,3.533136101
revdegree,Connected,4453582252.0,790919246.0,2.864877385
revdegree,Connected,4778563838.0,796566338.0,3.414370236
revdegree,Connected,4784810155.0,797562205.0,3.53440812
revdegree,Connected,4783985164.0,797790393.0,3.507096186
revdegree,Connected,4772159115.0,799005225.0,3.406876537
revdegree,Connected,4452603471.0,791221019.0,2.864617713
revdegree,Connected,4430359203.0,792184160.0,2.82579031
revdegree,Connected,4457140711.0,788116033.0,2.880682948
revdegree,Connected,4808110034.0,798006093.0,3.50141547
revdegree,Connected,4753001124.0,793519107.0,3.534071764
revdegree,Connected,4449320384.0,781658410.0,2.871310761
revdegree,Connected,4756015371.0,798933232.0,3.530326885
revdegree,Connected,4434249574.0,785495905.0,2.834636003
revdegree,Connected,4760144796.0,800559791.0,3.418932545
