Real,User,Sys,Algorithm,Iteration
3.82,27.49,0.51,Sync,1
2.46,17.60,0.26,Sync,2
2.49,17.99,0.44,Sync,3
2.39,16.76,0.35,Sync,4
2.80,18.07,0.34,Sync,5
2.45,17.50,0.31,Sync,6
2.56,18.14,0.33,Sync,7
2.96,19.19,0.39,Sync,8
2.83,18.67,0.44,Sync,9
2.76,17.38,0.39,Sync,10
2.70,17.14,0.26,Sync,11
2.22,15.36,0.27,Sync,12
2.76,17.25,0.35,Sync,13
2.44,17.50,0.30,Sync,14
2.52,18.04,0.36,Sync,15
2.43,17.13,0.40,Sync,16
2.95,19.32,0.29,Sync,17
2.74,17.85,0.33,Sync,18
2.31,15.98,0.40,Sync,19
2.83,18.39,0.44,Sync,20
2.37,16.47,0.30,Sync,21
2.56,18.12,0.31,Sync,22
2.66,16.47,0.26,Sync,23
2.57,15.94,0.31,Sync,24
2.59,18.75,0.39,Sync,25
