Ordering,Algo,Refs,Misses,Time
default,Connected,1571326570.0,192304582.0,1.670221802
default,Connected,1536660692.0,191959303.0,1.6220706
default,Connected,1410801019.0,191743118.0,1.334551641
default,Connected,1537134867.0,192403362.0,1.621936752
default,Connected,1414171887.0,191863065.0,1.294372617
default,Connected,1408916667.0,191540268.0,1.33408039
default,Connected,1399576747.0,191232097.0,1.311982434
default,Connected,1422548796.0,192571006.0,1.408455358
default,Connected,1412229523.0,190811312.0,1.330585812
default,Connected,1407894109.0,190835908.0,1.302064785
default,Connected,1403248549.0,191689287.0,1.302412686
default,Connected,1417724699.0,194318331.0,1.340058876
default,Connected,1415963747.0,192381441.0,1.344029268
default,Connected,1597900193.0,192869627.0,1.758667083
default,Connected,1415927142.0,190905628.0,1.318075992
default,Connected,1621932550.0,191948313.0,1.81016981
default,Connected,1429892589.0,191063303.0,1.310118568
default,Connected,1621843957.0,192112576.0,1.790536052
default,Connected,1415106261.0,190448753.0,1.317649254
default,Connected,1538836184.0,191805988.0,1.651752007
default,Connected,1623475107.0,191424942.0,1.78854829
default,Connected,1597962906.0,192464627.0,1.742606043
default,Connected,1609295299.0,192880143.0,1.70622148
default,Connected,1414639147.0,190849007.0,1.302224915
default,Connected,1404217767.0,191204448.0,1.322374759
degree,Connected,1228981281.0,216622475.0,1.385905434
degree,Connected,1257665799.0,214975327.0,1.27025752
degree,Connected,1490169143.0,216066657.0,1.749878426
degree,Connected,1248612107.0,215567249.0,1.265997076
degree,Connected,1239940776.0,214961843.0,1.322169017
degree,Connected,1236130110.0,214671391.0,1.270680053
degree,Connected,1397189511.0,216858084.0,1.71850281
degree,Connected,1437751385.0,216005842.0,1.732604353
degree,Connected,1452239211.0,216245579.0,1.858535548
degree,Connected,1439570157.0,215963035.0,1.698768824
degree,Connected,1447144688.0,216294461.0,1.757247649
degree,Connected,1416779743.0,216634181.0,1.893624733
degree,Connected,1240701760.0,215463486.0,1.279850161
degree,Connected,1440654399.0,216009055.0,1.7765926
degree,Connected,1233095690.0,214735219.0,1.278161709
degree,Connected,1240218292.0,214966791.0,1.277905608
degree,Connected,1434417364.0,216315425.0,1.709574993
degree,Connected,1231898985.0,214742565.0,1.282153958
degree,Connected,1238400413.0,215155139.0,1.277838784
degree,Connected,1417584922.0,222201573.0,1.78635937
degree,Connected,1405778447.0,216408859.0,1.737273254
degree,Connected,1449125252.0,215914368.0,1.774755592
degree,Connected,1239132535.0,214856688.0,1.274211094
degree,Connected,1416454602.0,215777197.0,1.710067372
degree,Connected,1362693962.0,215341575.0,1.593631901
revdegree,Connected,1110053752.0,191378200.0,1.292261368
revdegree,Connected,1270160990.0,192513375.0,1.721677387
revdegree,Connected,1067287474.0,191272212.0,1.175126058
revdegree,Connected,1080573677.0,191510177.0,1.182354661
revdegree,Connected,1232562758.0,192806301.0,1.654351561
revdegree,Connected,1247548931.0,192753500.0,1.650161856
revdegree,Connected,1073642165.0,191180883.0,1.173862388
revdegree,Connected,1269946838.0,198747549.0,1.729723825
revdegree,Connected,1089071830.0,191373532.0,1.166120713
revdegree,Connected,1091359814.0,190863082.0,1.182232312
revdegree,Connected,1083318029.0,191339747.0,1.194205668
revdegree,Connected,1076753299.0,194277072.0,1.197459114
revdegree,Connected,1257406606.0,192745190.0,1.586542323
revdegree,Connected,1304648229.0,192568351.0,1.72622574
revdegree,Connected,1264750428.0,192641698.0,1.678078021
revdegree,Connected,1121311461.0,190761721.0,1.198314144
revdegree,Connected,1347420466.0,193592768.0,1.821652157
revdegree,Connected,1212545694.0,192042324.0,1.540691112
revdegree,Connected,1071043565.0,191605479.0,1.183977139
revdegree,Connected,1271185224.0,193331357.0,1.676581438
revdegree,Connected,1101523128.0,191194045.0,1.202386408
revdegree,Connected,1279433082.0,192818475.0,1.674456334
revdegree,Connected,1246678732.0,192756552.0,1.590130248
revdegree,Connected,1082400639.0,191457709.0,1.201699777
revdegree,Connected,1306056520.0,194596734.0,1.722326204
