Real,User,Sys,Algorithm,Iteration
0.67,6.32,0.04,Sync,1
0.56,5.64,0.04,Sync,2
0.65,6.58,0.02,Sync,3
0.55,5.43,0.03,Sync,4
0.57,5.69,0.07,Sync,5
0.64,6.40,0.05,Sync,6
0.77,7.81,0.07,Sync,7
0.61,6.07,0.02,Sync,8
0.56,5.60,0.04,Sync,9
0.59,5.89,0.09,Sync,10
0.67,6.77,0.05,Sync,11
0.71,7.13,0.03,Sync,12
0.66,6.64,0.01,Sync,13
0.68,6.86,0.05,Sync,14
0.57,5.75,0.01,Sync,15
0.53,5.32,0.03,Sync,16
0.68,6.83,0.01,Sync,17
0.65,6.45,0.02,Sync,18
0.45,4.47,0.00,Sync,19
0.64,6.39,0.01,Sync,20
0.61,6.17,0.03,Sync,21
0.56,5.59,0.02,Sync,22
0.51,5.06,0.04,Sync,23
0.48,4.89,0.00,Sync,24
0.64,6.38,0.07,Sync,25
